Unnamed: 0,commit_id,tcmt,bugcount,fixcount,author_date,la,ld,ent,churn,nf,nd,ns,nuc,ndev,age,aexp,arexp,asexp
6496,cf56f8f3acbeac0ddff9ee3131ad7abe2a919ba3,0,1,0,2009-03-02 23:34:21,2118,825,0.3642297924890973,2943,4,3,2,0,0,84861.0,2,2.0,5
6494,e90036f6e1b2c799bef4842f69a0df9ee5b08ec9,0,0,0,2009-03-18 06:10:48,169,41,1.3949106151599249,210,4,1,1,0,0,22248.0,19,19.0,82
6497,16f30f16749fe4f75c94b17aa4a4b63df4ddb825,0,0,0,2009-03-19 19:48:21,81,67,1.3784188527203236,148,5,1,1,1,2,57952.2,19,19.0,82
6498,283f3a08755f0f1d121c87a25ee7679b64d35d8b,0,0,0,2009-03-20 17:27:03,27,32,0.0,59,2,2,2,2,2,70372.5,19,19.0,92
6500,5bea7e1772e9fd042b10abebb1e0c78579942b26,0,0,0,2009-03-20 19:44:16,10,2,0.9182958340544896,12,2,1,1,0,0,71056.0,19,19.0,82
6502,ff2cf35afff5a0735b1f6410f44a2a59cb7a5ca9,0,0,0,2009-03-20 19:49:11,11,6,0.0,17,1,1,1,0,0,71351.0,19,19.0,82
6505,da5c6b8fc6ce179e22fb344a2dd528403fc11385,0,0,0,2009-03-20 19:49:37,1,2,0.0,3,1,1,1,1,3,72916.0,19,19.0,82
6508,0237abc7659b9897f5bd90527de38c0a2fba2e54,0,0,0,2009-03-20 19:50:59,2,0,0.0,2,1,1,1,2,3,82.0,19,19.0,82
6510,01b415a15d4b6548d15ec9539dc40bc791e0a1f0,0,0,0,2009-03-20 21:04:02,43,59,0.0,102,2,1,1,3,3,40882.0,19,19.0,82
6516,5506a44d0a1e04a3d471b43dcf00b21608edd50f,0,0,0,2009-03-22 18:46:02,111,70,0.0,181,1,1,1,0,0,67562.0,19,19.0,82
6519,74dcfb263ca695534ec631d8cf11f909e54a9765,0,0,0,2009-03-24 21:55:31,4,7,0.0,11,1,1,1,0,0,78931.0,19,19.0,82
6518,c25dae0a2f5292661dcd90dd5ca68cd6cbaed3ed,0,0,0,2009-03-24 22:09:21,10,8,0.0,18,1,1,1,0,0,79761.0,2,2.0,4
6521,af47dc8476a6e4e4856476e4acff1ac8321a6a39,0,0,0,2009-03-25 05:25:23,3,0,0.0,3,1,1,1,1,2,26992.0,19,19.0,82
6526,f25041afddf97b00e9a3bd46ce3650010f240c54,0,0,0,2009-03-27 02:18:20,2,1,2.962304762194655,3,13,4,1,6,3,11450.076923076924,2862,673.0,46227
6503,c08117f4cd496c2203aa01c7a3c66f7a39d1f3f9,0,0,0,2009-03-27 02:18:28,2,0,2.2724876891689534,2,7,1,1,4,2,18181.571428571428,2862,673.0,46227
6509,f4f3ca50d84e165a909dca5608babb32df199f44,0,0,0,2009-03-27 02:18:34,1,4,1.950212064914747,5,4,2,1,5,2,7996.0,2862,673.0,46227
6517,76bc3cc8380dfdcad05348cf87af492f1a4a2206,0,0,0,2009-03-27 02:18:39,10,4,1.689391746743088,14,4,2,1,6,2,8.5,2862,673.0,46227
6522,e9e08ff6b572c851ecfcfe49bc63de43dfe3ed04,0,0,0,2009-03-27 02:18:54,56,50,0.0,106,1,1,1,1,1,26.0,2862,673.0,46227
6523,39d3f833f9c4e154eb157336f5e7b2a1ce9a79a3,0,0,0,2009-03-27 02:19:01,2,2,1.4888443326187255,4,5,1,1,7,2,3354.4,2862,673.0,46227
