Unnamed: 0,commit_id,tcmt,bugcount,fixcount,author_date,la,ld,ent,churn,nf,nd,ns,nuc,ndev,age,aexp,arexp,asexp
6496,cf56f8f3acbeac0ddff9ee3131ad7abe2a919ba3,0,1,0,2009-03-02 23:34:21,6988,144,0.0345,7132,6,2,2,2957,91,4721.0,24,3.7907,235
6494,e90036f6e1b2c799bef4842f69a0df9ee5b08ec9,0,0,0,2009-03-18 06:10:48,371,93,1.1093,464,31,2,5,2564,10,14868.3164,69,206.5,170
6497,16f30f16749fe4f75c94b17aa4a4b63df4ddb825,0,0,0,2009-03-19 19:48:21,90,120,1.0959,210,8,1,7,2376,89,54915.902,31,19.8542,191
6498,283f3a08755f0f1d121c87a25ee7679b64d35d8b,0,0,0,2009-03-20 17:27:03,1006,0,0.2987,1006,12,7,2,2576,90,80236.4452,333,1267.3333,6587
6500,5bea7e1772e9fd042b10abebb1e0c78579942b26,0,0,0,2009-03-20 19:44:16,90,44,1.1292,134,5,10,1,2376,89,67638.8779,41,39.5,2310
6502,ff2cf35afff5a0735b1f6410f44a2a59cb7a5ca9,0,0,0,2009-03-20 19:49:11,968,21,0.1148,989,3,1,2,0,0,76928.8683,2862,1267.3333,46227
6508,0237abc7659b9897f5bd90527de38c0a2fba2e54,0,0,0,2009-03-20 19:50:59,144,29,0.0,173,4,3,2,21,5,86281.0,2862,42.5816,776
6510,01b415a15d4b6548d15ec9539dc40bc791e0a1f0,0,0,0,2009-03-20 21:04:02,327,48,0.1231,375,2,1,1,234,9,47800.0549,389,98.7894,3746
6516,5506a44d0a1e04a3d471b43dcf00b21608edd50f,0,0,0,2009-03-22 18:46:02,16,3,0.0326,19,1,1,1,0,0,65587.7625,2862,1267.3333,1753
6519,74dcfb263ca695534ec631d8cf11f909e54a9765,0,0,0,2009-03-24 21:55:31,106,724,4.2625,830,58,10,1,130,5,74612.7844,391,20.3136,2310
6518,c25dae0a2f5292661dcd90dd5ca68cd6cbaed3ed,0,0,0,2009-03-24 22:09:21,44,5,1.4801,49,3,2,1,0,0,78781.8918,61,1267.3333,46227
6521,af47dc8476a6e4e4856476e4acff1ac8321a6a39,0,0,0,2009-03-25 05:25:23,344,214,4.4362,558,3,1,1,1356,4,24778.8231,92,46.3517,1852
6503,c08117f4cd496c2203aa01c7a3c66f7a39d1f3f9,0,0,0,2009-03-27 02:18:28,59,0,1.9094,59,6,3,1,3,4,3480.8213,2520,489.1846,40173
6517,76bc3cc8380dfdcad05348cf87af492f1a4a2206,0,0,0,2009-03-27 02:18:39,63,655,1.7005,718,5,2,4,1888,85,77790.0,80,594.8986,50065
6522,e9e08ff6b572c851ecfcfe49bc63de43dfe3ed04,0,0,0,2009-03-27 02:18:54,10,4,0.1165,14,2,1,1,18,59,85337.0,6,656.3913,6
6523,39d3f833f9c4e154eb157336f5e7b2a1ce9a79a3,0,0,0,2009-03-27 02:19:01,349,72,1.258,421,4,11,1,2603,7,85645.5,2862,671.0517,42984
6501,fe825730bfae8f619247605ea0027a9c195c45fd,0,0,0,2009-03-27 02:19:06,19,12,0.7877,31,1,1,1,0,0,78504.0,2744,641.4356,44887
6520,8f56a96a699050c7cd0a29973d36a9c62166321f,0,0,0,2009-03-27 02:19:30,614,15,1.1354,629,3,2,3,2177,2,6224.8056,2739,722.5303,44269
6524,def1edd1fe90a4a9c9eef4ef26f422ba3a21d28f,0,0,0,2009-03-27 02:19:35,83,76,0.9328,159,2,1,2,154,89,83068.0,1,567.5713,49899
6506,22c52627201873086c38ee020838f0ed4e96f843,0,0,0,2009-03-27 02:19:40,32,465,0.0811,497,25,14,1,71,89,85689.0,2819,649.4965,3040
6512,07c2d3c29dd4ef87ae0a0299a711565bfb7c30b0,0,0,0,2009-03-27 02:19:45,18,17,0.9758,35,2,1,2,59,3,6737.9764,1,709.2462,48156
6525,a9c09a85922e9962f7b7f9bb362d9f56e1e8e673,0,0,0,2009-03-27 02:19:51,347,41,0.6868,388,4,11,4,94,91,5752.698,2862,616.6762,48588
6499,ce8a73f2be0406f954f39aa6f6e20863e99e5461,0,0,0,2009-03-27 02:19:56,614,15,2.0677,629,2,2,1,2177,5,11216.5573,1,727.8148,47766
6306,66dee7aaab26556561614ab056469ade85de5ebd,0,0,0,2009-03-27 02:20:08,836,541,1.8147,1377,9,3,6,2581,85,67970.5,2613,744.1014,52055
6511,a996c8214baa4fa886071a24b8058ed1ca284686,0,0,0,2009-03-27 02:43:46,0,263,2.7517,263,22,1,1,5,16,18490.1455,20,938.1728,6
6303,2aa0bba0d5c56289ba6ce7969d267a58e3b3e074,0,0,0,2009-03-27 02:43:57,43,29,0.2566,72,7,1,1,3,23,11922.8491,2454,583.5295,40086
6308,4cff66a0eebd138271f3fa5f23fae3df07a7adf7,0,0,0,2009-03-27 02:44:05,85,401,0.097,486,3,2,2,308,20,22700.8967,1,531.1049,54921
6307,ad1cc13f5613ae4b6bb07c1367750ecbf29e0477,0,0,0,2009-03-27 02:44:10,6781,950,1.0897,7731,9,2,1,2603,91,11773.756,2862,616.6762,43389
6312,20e081f2901384f0786a56fb21a181033aa8e839,0,0,0,2009-03-27 02:44:20,312,906,2.5177,1218,22,6,3,54,25,86354.0,1,771.3195,3
6316,dd61d5119d951d94da28256e5482d580a0685030,0,0,0,2009-03-27 02:44:44,358,887,3.8493,1245,34,11,3,141,32,69906.4286,2777,598.2371,52485
