Unnamed: 0,commit_id,tcmt,bugcount,fixcount,author_date,la,ld,ent,churn,nf,nd,ns,nuc,ndev,age,aexp,arexp,asexp
6496,cf56f8f3acbeac0ddff9ee3131ad7abe2a919ba3,0,1,0,2009-03-02 23:34:21,113,71,0.394,184,3,3,2,16,94,85265.8596,18,1267.3333,63673
6498,283f3a08755f0f1d121c87a25ee7679b64d35d8b,0,0,0,2009-03-20 17:27:03,46,951,5.6616,997,85,1,2,53,3,69248.9256,2862,1.2816,63673
6500,5bea7e1772e9fd042b10abebb1e0c78579942b26,0,0,0,2009-03-20 19:44:16,69,171,0.8289,240,1,1,1,3067,94,69935.6339,2862,1267.3333,762
6502,ff2cf35afff5a0735b1f6410f44a2a59cb7a5ca9,0,0,0,2009-03-20 19:49:11,65,125,0.063,190,2,1,1,3067,1,72036.6019,47,6.9446,629
6505,da5c6b8fc6ce179e22fb344a2dd528403fc11385,0,0,0,2009-03-20 19:49:37,174,9293,0.0392,9467,85,36,13,3067,4,72227.4463,46,9.1804,535
6508,0237abc7659b9897f5bd90527de38c0a2fba2e54,0,0,0,2009-03-20 19:50:59,49,9293,0.0688,9342,85,36,1,39,2,854.3937,55,7.5635,788
6510,01b415a15d4b6548d15ec9539dc40bc791e0a1f0,0,0,0,2009-03-20 21:04:02,4496,86,0.041,4582,2,36,13,25,3,40365.4507,33,24.0369,384
6516,5506a44d0a1e04a3d471b43dcf00b21608edd50f,0,0,0,2009-03-22 18:46:02,57,9293,5.6616,9350,2,36,1,3067,94,68418.501,2862,33.3508,63673
6519,74dcfb263ca695534ec631d8cf11f909e54a9765,0,0,0,2009-03-24 21:55:31,3,9293,5.6616,9296,85,36,13,3067,94,79659.2787,32,24.2821,553
6518,c25dae0a2f5292661dcd90dd5ca68cd6cbaed3ed,0,0,0,2009-03-24 22:09:21,69,9293,0.0372,9362,1,36,13,3067,1,80422.5034,2862,1267.3333,510
6521,af47dc8476a6e4e4856476e4acff1ac8321a6a39,0,0,0,2009-03-25 05:25:23,4496,9293,0.0272,13789,85,1,1,3067,2,26608.3912,43,13.6498,63673
6503,c08117f4cd496c2203aa01c7a3c66f7a39d1f3f9,0,0,0,2009-03-27 02:18:28,110,213,2.3873,323,6,36,13,60,3,16224.4082,1,659.2435,45353
6509,f4f3ca50d84e165a909dca5608babb32df199f44,0,0,0,2009-03-27 02:18:34,4496,9293,1.8611,13789,3,3,1,3067,3,7245.3903,2841,657.3364,45578
6517,76bc3cc8380dfdcad05348cf87af492f1a4a2206,0,0,0,2009-03-27 02:18:39,51,114,1.7366,165,5,2,1,3067,3,799.5231,2827,658.3889,46751
6522,e9e08ff6b572c851ecfcfe49bc63de43dfe3ed04,0,0,0,2009-03-27 02:18:54,4496,202,0.1498,4698,3,2,13,81,94,2295.6545,2801,688.8936,44962
6523,39d3f833f9c4e154eb157336f5e7b2a1ce9a79a3,0,0,0,2009-03-27 02:19:01,119,9293,1.5523,9412,6,1,1,37,3,2225.2344,1,683.4832,45661
6501,fe825730bfae8f619247605ea0027a9c195c45fd,0,0,0,2009-03-27 02:19:06,110,9293,0.1073,9403,3,2,13,77,94,5960.8249,2782,707.9307,47104
6514,ce5595793578e53cad3019f132d6ac2bdad60d31,0,0,0,2009-03-27 02:19:10,4496,233,0.1374,4729,3,2,1,41,94,86384.0,2810,644.7368,47576
6513,abc75388a3df8de72b28a5edb830e1c19ed9ec80,0,0,0,2009-03-27 02:19:24,21,346,5.6616,367,3,36,1,68,2,9891.8162,1,648.0462,47370
6520,8f56a96a699050c7cd0a29973d36a9c62166321f,0,0,0,2009-03-27 02:19:30,4496,9293,1.1448,13789,5,3,13,3067,94,10166.2152,1,695.9495,47068
6524,def1edd1fe90a4a9c9eef4ef26f422ba3a21d28f,0,0,0,2009-03-27 02:19:35,122,237,0.9074,359,85,2,1,40,94,5222.5279,1,693.7824,45634
6506,22c52627201873086c38ee020838f0ed4e96f843,0,0,0,2009-03-27 02:19:40,64,171,5.6616,235,85,36,1,3067,94,1849.1687,2825,695.1643,47817
6512,07c2d3c29dd4ef87ae0a0299a711565bfb7c30b0,0,0,0,2009-03-27 02:19:45,92,106,0.9012,198,4,2,1,3067,94,6024.2184,1,649.1289,47441
