Unnamed: 0,commit_id,tcmt,bugcount,fixcount,author_date,la,ld,ent,churn,nf,nd,ns,nuc,ndev,age,aexp,arexp,asexp
6494,e90036f6e1b2c799bef4842f69a0df9ee5b08ec9,0,0,0,2009-03-18 06:10:48,139,4596,1.4959,4735,5,1,5,73,91,22326.5925,2862,1267.3333,8075
6497,16f30f16749fe4f75c94b17aa4a4b63df4ddb825,0,0,0,2009-03-19 19:48:21,2598,103,1.534,2701,3,2,1,2957,6,58202.0416,2862,1267.3333,191
6498,283f3a08755f0f1d121c87a25ee7679b64d35d8b,0,0,0,2009-03-20 17:27:03,63,756,3.4408,819,1,3,2,2977,91,70902.1734,240,1267.3333,8075
6500,5bea7e1772e9fd042b10abebb1e0c78579942b26,0,0,0,2009-03-20 19:44:16,44,91,1.0128,135,2,10,5,2977,91,71161.7543,2862,1267.3333,8075
6502,ff2cf35afff5a0735b1f6410f44a2a59cb7a5ca9,0,0,0,2009-03-20 19:49:11,18,31,3.4408,49,21,10,1,28,91,71449.3786,60,32.8651,206
6505,da5c6b8fc6ce179e22fb344a2dd528403fc11385,0,0,0,2009-03-20 19:49:37,105,47,3.9524,152,1,1,3,2213,1,72789.82,2862,1267.3333,8075
6508,0237abc7659b9897f5bd90527de38c0a2fba2e54,0,0,0,2009-03-20 19:50:59,590,11,0.0721,601,1,1,3,28,1,33.6761,83,1267.3333,246
6510,01b415a15d4b6548d15ec9539dc40bc791e0a1f0,0,0,0,2009-03-20 21:04:02,360,295,0.1169,655,5,30,1,3029,7,40760.6641,90,1267.3333,410
6516,5506a44d0a1e04a3d471b43dcf00b21608edd50f,0,0,0,2009-03-22 18:46:02,16,813,0.0415,829,1,1,5,2977,1,67636.0313,43,7.0523,8075
6519,74dcfb263ca695534ec631d8cf11f909e54a9765,0,0,0,2009-03-24 21:55:31,62,2191,0.1052,2253,17,3,3,34,2,78835.3879,62,46.2943,8075
6518,c25dae0a2f5292661dcd90dd5ca68cd6cbaed3ed,0,0,0,2009-03-24 22:09:21,4433,5096,2.076,9529,9,3,2,2524,2,79637.2502,2862,1267.3333,8075
6521,af47dc8476a6e4e4856476e4acff1ac8321a6a39,0,0,0,2009-03-25 05:25:23,2421,815,5.7354,3236,94,1,1,27,1,27049.1519,2862,35.236,198
6503,c08117f4cd496c2203aa01c7a3c66f7a39d1f3f9,0,0,0,2009-03-27 02:18:28,38,51,2.1205,89,6,5,4,105,89,17901.3738,2862,1267.3333,46548
6509,f4f3ca50d84e165a909dca5608babb32df199f44,0,0,0,2009-03-27 02:18:34,15,2153,2.1921,2168,5,2,3,1739,10,7427.6481,2862,722.333,46482
6517,76bc3cc8380dfdcad05348cf87af492f1a4a2206,0,0,0,2009-03-27 02:18:39,18,28,1.6315,46,4,2,2,58,6,2831.0,2862,693.9441,49967
6522,e9e08ff6b572c851ecfcfe49bc63de43dfe3ed04,0,0,0,2009-03-27 02:18:54,2,3,0.0239,5,1,1,1,11,89,8.8301,2862,678.7872,49967
6501,fe825730bfae8f619247605ea0027a9c195c45fd,0,0,0,2009-03-27 02:19:06,126,2153,3.0716,2279,1,5,1,91,90,8040.5829,2862,643.6841,50762
6514,ce5595793578e53cad3019f132d6ac2bdad60d31,0,0,0,2009-03-27 02:19:10,89,89,0.1051,178,1,1,2,57,5,204.5125,2862,711.1413,49967
6513,abc75388a3df8de72b28a5edb830e1c19ed9ec80,0,0,0,2009-03-27 02:19:24,86,190,3.0716,276,10,1,1,1739,90,8782.0899,2862,707.33,46513
6520,8f56a96a699050c7cd0a29973d36a9c62166321f,0,0,0,2009-03-27 02:19:30,23,180,1.2512,203,3,2,1,1739,90,8844.9466,2862,628.257,50762
6524,def1edd1fe90a4a9c9eef4ef26f422ba3a21d28f,0,0,0,2009-03-27 02:19:35,52,75,0.8638,127,2,1,2,2037,90,4016.4247,2862,1267.3333,46403
6506,22c52627201873086c38ee020838f0ed4e96f843,0,0,0,2009-03-27 02:19:40,10,8,1.9776,18,5,1,1,10,89,104.4817,2862,1267.3333,49967
6512,07c2d3c29dd4ef87ae0a0299a711565bfb7c30b0,0,0,0,2009-03-27 02:19:45,10,9,0.9344,19,2,4,1,29,90,4295.1466,2862,688.9467,46288
6525,a9c09a85922e9962f7b7f9bb362d9f56e1e8e673,0,0,0,2009-03-27 02:19:51,20,89,0.3362,109,1,5,3,64,3,7972.5332,2862,638.428,46442
