Unnamed: 0,commit_id,tcmt,bugcount,fixcount,author_date,la,ld,ent,churn,nf,nd,ns,nuc,ndev,age,aexp,arexp,asexp
9198,62f30afabae369ce4a81e03457ee5999c59b9fb0,0,0,0,2010-12-17 15:07:10,10,5,1.698117421130403,15,4,4,1,0,0,58030.0,411,10.0,1847
9229,816369425177cedc696f93b6daeedc31e601dd52,0,0,0,2010-12-17 15:07:10,76,45,1.698117421130403,121,4,4,1,0,0,58030.0,411,10.0,1847
9201,944511cfc3ea634b0e9f6cabcf3deb630d25ae8e,0,0,0,2010-12-20 16:26:02,384,315,2.9243129817616844,699,20,14,4,0,0,62762.0,383,1.0,10978
9202,1dfad89e70b40f49ea724bf274ac2561d033a7d3,0,0,0,2010-12-20 17:01:14,206,110,2.403303200222467,316,11,10,3,3,39,53892.90909090909,411,10.0,1856
9245,b843f1851c334bd6019fe50a29dd6e460183f69d,0,0,0,2010-12-20 17:01:14,12,8,2.403303200222467,20,11,10,3,3,39,53892.90909090909,411,10.0,1856
9236,717a37751aa46a8fcd8b46ec5a0c92d7ac43198d,0,0,0,2010-12-21 00:02:39,182,112,4.014495966769346,294,26,9,3,3,9,7151.923076923077,411,10.0,2193
9210,7ddfb16a047c6de2e8a7f7be6ac43bf66e248e39,0,0,0,2010-12-21 00:04:59,16,11,2.1306765642306336,27,5,1,1,0,0,3899.0,411,10.0,1847
9213,4cdb77107316f9ece891a9b5781ecf4c10fcb041,0,0,0,2010-12-22 17:37:07,256,115,0.0,371,1,1,1,0,0,67027.0,260,2.0,455
9244,5cf06bdfb63382cef07b26db0a63045e0e3004de,0,0,0,2010-12-22 17:37:07,1,1,0.0,2,1,1,1,0,0,67027.0,260,2.0,455
9217,ffbc7e177bca0a84d892514b138d6d208a87f64f,0,0,0,2010-12-23 00:44:49,1208,797,3.602091722464979,2005,19,5,1,4,10,4698.894736842105,411,10.0,1847
9221,54ee5fa3d278fbfd4ee6850b6e20d04d0d10aea5,0,0,0,2010-12-23 11:18:11,597,411,1.371142601518951,1008,4,2,1,5,8,46528.0,411,10.0,1847
9225,e5a3a59b33d4d5877588e159db2f5bcea6bad7f4,0,0,0,2010-12-28 20:12:45,154,71,0.0,225,1,1,1,0,0,76365.0,411,10.0,1847
