Unnamed: 0,commit_id,tcmt,bugcount,fixcount,author_date,la,ld,ent,churn,nf,nd,ns,nuc,ndev,age,aexp,arexp,asexp
9198,62f30afabae369ce4a81e03457ee5999c59b9fb0,0,0,0,2010-12-17 15:07:10,94,1133,1.402,1227,68,3,8,33,5,57826.0087,371,710.5,1550
9229,816369425177cedc696f93b6daeedc31e601dd52,0,0,0,2010-12-17 15:07:10,1012,25,1.8507,1037,3,4,1,0,0,60125.3989,369,43.9108,1626
9202,1dfad89e70b40f49ea724bf274ac2561d033a7d3,0,0,0,2010-12-20 17:01:14,848,83,2.3368,931,11,9,3,796,47,57696.5102,362,39.3249,2269
9245,b843f1851c334bd6019fe50a29dd6e460183f69d,0,0,0,2010-12-20 17:01:14,848,98,2.3328,946,10,11,3,796,33,58574.3795,450,710.5,2444
9210,7ddfb16a047c6de2e8a7f7be6ac43bf66e248e39,0,0,0,2010-12-21 00:04:59,505,2487,2.1404,2992,6,2,5,1037,122,75027.9091,455,575.0,2423
9213,4cdb77107316f9ece891a9b5781ecf4c10fcb041,0,0,0,2010-12-22 17:37:07,2182,5083,4.7393,7265,82,44,1,37,143,69390.7593,234,13.2036,459
9244,5cf06bdfb63382cef07b26db0a63045e0e3004de,0,0,0,2010-12-22 17:37:07,2543,88,0.3383,2631,49,2,5,941,9,58658.3076,258,200.6667,7256
9217,ffbc7e177bca0a84d892514b138d6d208a87f64f,0,0,0,2010-12-23 00:44:49,2985,901,3.8218,3886,19,6,6,46,17,75222.15,496,41.377,2456
9225,e5a3a59b33d4d5877588e159db2f5bcea6bad7f4,0,0,0,2010-12-28 20:12:45,73,69,5.421,142,7,16,6,81,15,70883.4885,411,32.535,1711
9249,03ce1925cde3637bf51209da8d0a9dbf9fbb4eab,0,0,0,2011-01-06 13:02:56,363,40,5.508,403,70,2,1,41,4,53540.599,7,4.5547,12
9250,290c6a92260ed47abf88f7c701b22fa25b633cbf,0,0,0,2011-01-06 14:52:51,1296,210,3.0268,1506,11,1,1,0,0,49546.8081,924,510.4654,3610
9251,3d19b6c24b60bdb8147d1b9f04184cb56a5e74d7,0,0,0,2011-01-06 15:15:17,3657,2888,0.1383,6545,4,41,1,45,4,62061.7044,957,596.7865,4284
9252,d224c48e136ef290dbf40dee8e29b21032922a31,0,0,0,2011-01-06 15:21:58,3657,2888,0.2155,6545,4,3,1,45,3,55671.3974,967,610.9104,3699
9253,6f52786e44bffd08973fc8a3a45e4a176f53ca41,0,0,0,2011-01-07 13:44:00,0,0,0.0,0,0,0,0,0,0,0.0,40,24.0,0
9254,78cee55f0fc0c43885fc2254e2b14939e17224ee,0,0,0,2011-01-07 15:44:48,125,149,3.6388,274,3,13,1,91,139,81602.0,759,452.5167,1164
9247,6b360ebff0da7eaf5551bd6c0542a71b95efacf0,0,0,0,2011-01-07 16:41:09,293,215,0.6702,508,11,8,2,666,123,59925.2982,952,612.0852,4188
9248,ade23c2c463f248e6cdf30e80643abe3bb332eb3,0,0,0,2011-01-07 17:06:00,120,210,3.0268,330,1,0,0,0,0,8623.7451,859,679.2673,487
9260,ad802effff6a33ee7f83bb50a1099eae3c697956,0,0,0,2011-01-07 17:23:31,80,516,0.1811,596,5,4,1,930,116,60634.6491,886,529.566,4607
9262,19b933c7552f94cebb57bcd82e69a43cec9fc803,0,0,0,2011-01-07 17:44:06,36,50,1.9431,86,4,2,3,199,18,33026.1447,957,536.2505,3520
9264,058f5ec785c29a580216c12faab9bd7f320efdf2,0,0,0,2011-01-07 18:09:29,644,12,0.1623,656,14,1,1,968,107,65811.5028,947,533.1286,4403
9266,b5e21190354a1f5a8438902f0ba36d4365c28c5a,0,0,0,2011-01-07 18:11:56,380,231,0.0,611,1,1,1,119,26,71865.0419,1,609.3978,3468
9270,2f8a5a4df0e2ffbd477909ace0f4c57e4f2fe2d3,0,0,0,2011-01-08 15:38:26,121,32,1.0924,153,65,3,1,2,17,68245.4571,941,523.331,3634
9273,40bbce2e97083ad4b766d783281b02228c476035,0,0,0,2011-01-08 17:50:50,132,103,0.7009,235,8,2,1,986,107,76094.7174,4,618.9049,4684
9276,5c46e10e5c78a697f054d85d48b066c3f8fa8911,0,0,0,2011-01-08 18:03:51,24,14,0.331,38,65,2,1,2,6,41690.2222,918,545.8722,3569
9280,a9cd8d18f8a6b67a39212138f85d93ef6d79aefa,0,0,0,2011-01-10 12:58:28,132,138,3.6613,270,98,5,2,48,140,48451.1564,1,556.9108,3989
9302,c32ad03289a65039dc694861fd456f5815ec9e71,0,0,0,2011-01-10 13:00:55,1098,192,2.1909,1290,10,3,4,8,96,51800.3517,1,452.6512,3661
9285,991844b95a54903c4b8d07dad219b7e34cf9115f,0,0,0,2011-01-10 13:05:27,32,23,0.0,55,1,1,1,0,0,50727.0,1000,575.0,4000
9286,94afc4b3c4d19404fb03da7a8846cf4543197f6f,0,0,0,2011-01-10 13:10:37,529,191,0.7204,720,99,38,2,45,116,62243.4355,329,520.3476,3877
9290,af9289d75b047b38f2b4c53f785940c37b431d01,0,0,0,2011-01-10 17:09:57,0,11,0.0,11,1,1,1,2,1,14360.0,1000,575.0,4000
9205,d377efc3b3ff0dc792e694c00289ec80340deac0,0,0,0,2011-01-10 17:17:38,91,18,0.3563,109,16,7,3,1,26,6538.238,924,535.089,4894
9318,db604f7d749374ca56eca33dcf9129cf6d034291,0,0,0,2011-01-10 17:43:47,402,112,0.8025,514,63,8,12,72,99,48884.4595,1,660.0823,3195
9292,106566cd53d391fa99b3cf82fe1d70aa2acf693d,0,0,0,2011-01-10 21:07:15,320,1,0.0305073955405082,321,2,2,1,0,0,79635.0,1000,575.0,4000
9293,5a906dedb3d3c0300b8165bb0a31df087a3e1860,0,0,0,2011-01-11 13:33:06,3657,2888,0.1596,6545,3,3,1,1022,10,48127.5156,430,169.2602,1521
9328,a790a6bcd8dbd2314cc1e01bf922adb87f4a977e,0,0,0,2011-01-11 14:09:13,762,0,0.2968,762,2,9,4,498,99,81114.9781,833,159.8333,1641
9315,4db616f96612173258550fed83518d9455308085,0,0,0,2011-01-11 14:21:44,34,30,0.3087,64,5,3,1,51,8,54882.2983,411,10.0,1964
9316,ff6ce7a99e9ab065c6a705e1720967c7cd22978b,0,0,0,2011-01-11 17:32:25,153,2888,2.2031,3041,6,1,1,20,0,38941.9202,401,190.875,2000
9322,937c81b48cebe1f047ddc6c30d1e6f9846de5833,0,0,0,2011-01-11 19:03:56,110,27,3.5787,137,15,12,0,0,0,83491.0,1,512.3813,9112
9326,7ddf336b84c89ebf58ac25696f1aa49c7c39f20e,0,0,0,2011-01-12 09:56:41,1499,48,2.7184,1547,10,6,2,9,7,47660.3372,72,50.6523,10918
9327,71f23deff26349f2cb650db128ffb850dc75741b,0,0,0,2011-01-12 13:09:51,14,59,1.2916919971380596,73,5,4,1,0,0,50991.0,1000,575.0,4000
9204,ce0325c3d9e456265ae78effa23d82e6f378909b,0,0,0,2011-01-12 15:23:50,42,235,1.738,277,5,2,4,930,116,57611.3599,434,205.7115,2132
9341,d864723baa3696a30e7cfd0816e3f452e3a17de7,0,0,0,2011-01-13 18:40:04,156,73,0.0,229,6,8,2,96,32,8347.6051,815,505.3251,6013
9342,bda4f9385210cf981b8c6b4626dba49ca6f68f3b,0,0,0,2011-01-14 11:16:41,58,7302,0.2195,7360,4,22,2,63,16,78858.0,84,30.7435,502
9346,b91c8192472605010747c424acbfc902bf097659,0,0,0,2011-01-15 16:43:08,381,79,1.952170236321728,460,12,7,1,6,11,72812.75,1000,575.0,4000
9242,dd6162c361dceea4bafedda3c11f78af366d9cab,0,0,0,2011-01-15 17:02:30,163,2255,0.3963,2418,8,6,2,51,116,74623.5556,1,1.0,3540
9226,9d1c38eabe0932682a1da8d7bd8442b563a4d3a4,0,0,0,2011-01-18 11:37:35,52,21,3.7476,73,28,1,2,10,7,53096.5896,337,178.5353,2341
9231,b0d572990477a1db22ca08b325a285991875822d,0,0,0,2011-01-18 15:06:53,166,147,1.414,313,44,5,1,72,17,27042.7155,914,2.0,3413
9257,a6a1af411a23b2998218a202feaaea28805d25ef,0,0,0,2011-01-18 15:50:55,336,3382,1.5618,3718,51,4,2,98,99,44384.6463,1,516.7923,3758
9259,db4ee7270f1f714ec38450e5011b95138785f88b,0,0,0,2011-01-18 17:59:06,589,6888,1.8684,7477,60,9,7,1039,108,23267.2665,931,650.6537,3906
9200,9e12c3ce0f368c9bd76090c6c9871a417c4d7760,0,0,0,2011-01-18 18:34:22,117,121,1.3913,238,16,13,3,949,26,23909.8219,396,164.2279,11084
9246,f56fb85529a00eac1d8bb5d3dcc004715b9b019b,0,0,0,2011-01-20 16:35:06,4168,752,2.7906,4920,6,1,9,732,12,51652.0447,329,524.3089,3870
9258,7c10d4284811e000e8aa1c39780ddf44c60f1170,0,0,0,2011-01-20 18:15:27,527,1436,2.9577,1963,14,4,0,1037,27,58528.6119,972,452.5167,3090
9303,8d3861fdcff77f3fbab70247995df8eb410b04d6,0,0,0,2011-01-21 16:25:19,483,94,3.2223,577,18,4,2,7,47,55955.0279,281,86.4355,7988
9209,777f7aea2b4504b67aaf64158ad4cce751b494da,0,0,0,2011-01-21 17:08:21,65,231,1.4926,296,5,2,2,42,40,33933.7346,9,8.5888,18
9304,33252df8fd56096055225328b9721485438356ce,0,0,0,2011-01-21 17:24:13,1195,7963,2.9593,9158,20,6,2,105,121,58265.4972,891,628.3506,3376
9323,f850e77d4ba974eab8ec51636ac58a90ab472d40,0,0,0,2011-01-21 19:06:11,36,244,2.5886,280,2,1,1,989,118,8693.8683,1,645.0189,4642
9268,d9a2914d0c3fc866e16a2cc4b67f83198a71a16c,0,0,0,2011-01-21 19:18:28,1,1,0.0,2,1,1,1,2,1,9802.0,1000,575.0,4000
9271,6035b3dd181b5143f9c95b223d2e81cdfe285bca,0,0,0,2011-01-24 10:22:01,336,73,3.3816,409,21,14,2,35,10,44843.873,444,207.4899,2504
9332,b7da564a568c38d7d2f8c43dd4388892eb2def3c,0,0,0,2011-01-24 18:52:18,76,10,1.1185,86,4,2,3,4,4,24094.6804,1,629.6808,3549
9333,558f8e80b761c53e1dde10c07d84cc486feb6711,0,0,0,2011-01-25 09:32:00,156,210,3.0268,366,1,0,2,0,0,6752.5803,856,484.5401,6209
9334,a962be010651a5a21d9e30fa23a58be9b20951d6,0,0,0,2011-01-25 09:37:50,644,618,3.3411,1262,2,1,1,31,107,61757.6559,964,594.7753,3749
9338,62e9820fdea79c82163031e8d415e5fe7a11f98c,0,0,0,2011-01-25 09:59:29,358,208,0.2235,566,3,3,1,0,0,34045.7008,1,516.929,4870
9340,cc7c32127d0419ddddadba4864ac123f0f2c0845,0,0,0,2011-01-25 13:07:14,803,33,1.1443,836,44,2,6,750,8,40396.2915,411,10.0,1918
