Unnamed: 0,commit_id,tcmt,bugcount,fixcount,author_date,la,ld,ent,churn,nf,nd,ns,nuc,ndev,age,aexp,arexp,asexp
9198,62f30afabae369ce4a81e03457ee5999c59b9fb0,0,0,0,2010-12-17 15:07:10,166,8778,1.7874,8944,5,5,1,15,155,57428.1961,398,17.1958,1714
9229,816369425177cedc696f93b6daeedc31e601dd52,0,0,0,2010-12-17 15:07:10,9591,96,1.7483,9687,3,3,1,12,2,57122.1571,399,1.0986,2039
9202,1dfad89e70b40f49ea724bf274ac2561d033a7d3,0,0,0,2010-12-20 17:01:14,9591,8778,2.3165,18369,10,11,3,1377,42,52856.7545,426,1.2368,1654
9210,7ddfb16a047c6de2e8a7f7be6ac43bf66e248e39,0,0,0,2010-12-21 00:04:59,307,117,2.2592,424,3,2,0,17,3,2601.4908,388,24.0697,1485
9213,4cdb77107316f9ece891a9b5781ecf4c10fcb041,0,0,0,2010-12-22 17:37:07,9591,91,6.2875,9682,0,2,1,1377,155,65813.5957,248,710.5,557
9244,5cf06bdfb63382cef07b26db0a63045e0e3004de,0,0,0,2010-12-22 17:37:07,9591,92,6.2875,9683,100,0,1,1377,155,66302.7366,267,710.5,587
9221,54ee5fa3d278fbfd4ee6850b6e20d04d0d10aea5,0,0,0,2010-12-23 11:18:11,324,156,1.2979,480,3,1,1,15,6,45267.3482,423,3.5491,1731
9225,e5a3a59b33d4d5877588e159db2f5bcea6bad7f4,0,0,0,2010-12-28 20:12:45,127,8778,6.2875,8905,100,59,0,20,3,75175.0906,439,710.5,2182
9249,03ce1925cde3637bf51209da8d0a9dbf9fbb4eab,0,0,0,2011-01-06 13:02:56,137,26,0.0164,163,1,1,1,4,155,50184.4726,4,7.6319,83
9250,290c6a92260ed47abf88f7c701b22fa25b633cbf,0,0,0,2011-01-06 14:52:51,414,8778,6.2875,9192,4,2,2,45,5,54344.0135,1,589.3271,4359
9251,3d19b6c24b60bdb8147d1b9f04184cb56a5e74d7,0,0,0,2011-01-06 15:15:17,354,236,6.2875,590,100,3,0,1377,155,55502.0408,1,595.1208,3397
9252,d224c48e136ef290dbf40dee8e29b21032922a31,0,0,0,2011-01-06 15:21:58,9591,170,6.2875,9761,100,3,2,60,3,60628.9591,1,551.6853,3702
9253,6f52786e44bffd08973fc8a3a45e4a176f53ca41,0,0,0,2011-01-07 13:44:00,9591,73,6.2875,9664,1,0,0,1377,155,86313.0,45,27.0287,14714
9254,78cee55f0fc0c43885fc2254e2b14939e17224ee,0,0,0,2011-01-07 15:44:48,9591,365,6.2875,9956,100,59,1,46,5,2208.5505,1,594.8498,14714
9248,ade23c2c463f248e6cdf30e80643abe3bb332eb3,0,0,0,2011-01-07 17:06:00,9591,431,0.318,10022,100,59,1,1377,9,86313.0,1,607.0282,510
9260,ad802effff6a33ee7f83bb50a1099eae3c697956,0,0,0,2011-01-07 17:23:31,9591,8778,6.2875,18369,3,6,26,1377,155,69358.741,1,603.3451,3389
9262,19b933c7552f94cebb57bcd82e69a43cec9fc803,0,0,0,2011-01-07 17:44:06,9591,213,1.615,9804,8,4,1,50,7,37847.3002,971,586.6695,4446
9264,058f5ec785c29a580216c12faab9bd7f320efdf2,0,0,0,2011-01-07 18:09:29,9591,317,6.2875,9908,5,3,2,1377,155,66735.5786,978,556.4035,3584
9266,b5e21190354a1f5a8438902f0ba36d4365c28c5a,0,0,0,2011-01-07 18:11:56,425,384,6.2875,809,4,59,2,40,155,65654.6157,1,548.2588,4335
9269,33eda2a6ab654e501c149adf8810cef83e3491e7,0,0,0,2011-01-07 19:32:35,9591,8778,2.4373,18369,11,9,2,38,15,68117.4934,1,588.7572,4402
9270,2f8a5a4df0e2ffbd477909ace0f4c57e4f2fe2d3,0,0,0,2011-01-08 15:38:26,373,8778,1.6213,9151,7,6,0,1377,10,73839.9382,1,554.3957,3663
9273,40bbce2e97083ad4b766d783281b02228c476035,0,0,0,2011-01-08 17:50:50,9591,8778,0.3573,18369,100,59,2,39,4,79627.4201,966,608.2995,4448
9276,5c46e10e5c78a697f054d85d48b066c3f8fa8911,0,0,0,2011-01-08 18:03:51,290,8778,6.2875,9068,100,3,0,50,2,33066.4865,1,559.6414,3600
9285,991844b95a54903c4b8d07dad219b7e34cf9115f,0,0,0,2011-01-10 13:05:27,256,8778,6.2875,9034,100,59,0,28,155,53190.6443,1,560.5754,3509
9286,94afc4b3c4d19404fb03da7a8846cf4543197f6f,0,0,0,2011-01-10 13:10:37,94,8778,0.9923,8872,5,5,2,1377,5,56350.8581,1,587.3687,3604
9290,af9289d75b047b38f2b4c53f785940c37b431d01,0,0,0,2011-01-10 17:09:57,9591,318,6.2875,9909,100,59,2,46,155,11362.5231,980,597.463,3687
9288,8164cf97af1888f9677975f7086b02c51f6ae253,0,0,0,2011-01-10 17:13:14,354,384,6.2875,738,100,0,0,61,4,68521.5439,966,600.4009,4668
9205,d377efc3b3ff0dc792e694c00289ec80340deac0,0,0,0,2011-01-10 17:17:38,9591,274,6.2875,9865,100,59,0,48,4,4505.8851,1,595.8154,4330
9292,106566cd53d391fa99b3cf82fe1d70aa2acf693d,0,0,0,2011-01-10 21:07:15,622,198,6.2875,820,5,59,0,1377,5,76324.3035,1,592.061,4552
9293,5a906dedb3d3c0300b8165bb0a31df087a3e1860,0,0,0,2011-01-11 13:33:06,113,8778,6.2875,8891,3,2,1,1377,10,45155.9273,425,187.5102,1758
9328,a790a6bcd8dbd2314cc1e01bf922adb87f4a977e,0,0,0,2011-01-11 14:09:13,9591,2249,6.2875,11840,5,3,26,1377,115,78053.9682,368,152.6339,776
9315,4db616f96612173258550fed83518d9455308085,0,0,0,2011-01-11 14:21:44,76,8778,6.2875,8854,1,2,1,26,5,51074.3039,397,191.554,1742
9317,d89ffca1e3a9ff53756914c45241234501435b1a,0,0,0,2011-01-11 16:22:39,419,8778,2.7741,9197,6,0,1,21,2,61357.6184,396,170.5382,2006
9316,ff6ce7a99e9ab065c6a705e1720967c7cd22978b,0,0,0,2011-01-11 17:32:25,15,8778,2.1166,8793,8,1,1,1377,155,40583.9674,399,173.6094,1970
9322,937c81b48cebe1f047ddc6c30d1e6f9846de5833,0,0,0,2011-01-11 19:03:56,315,293,6.2875,608,100,59,1,1377,7,86313.0,1,543.3693,14714
9326,7ddf336b84c89ebf58ac25696f1aa49c7c39f20e,0,0,0,2011-01-12 09:56:41,9591,8778,2.6795,18369,9,6,2,10,10,46010.8092,91,22.1403,371
9327,71f23deff26349f2cb650db128ffb850dc75741b,0,0,0,2011-01-12 13:09:51,9591,340,1.109,9931,8,5,2,47,155,49070.5122,965,599.7708,4379
9204,ce0325c3d9e456265ae78effa23d82e6f378909b,0,0,0,2011-01-12 15:23:50,18,69,1.8094,87,6,2,1,10,1,61113.8872,423,178.0837,1688
9342,bda4f9385210cf981b8c6b4626dba49ca6f68f3b,0,0,0,2011-01-14 11:16:41,73,2,6.2875,75,2,1,1,1377,9,4526.2013,101,22.6838,529
9346,b91c8192472605010747c424acbfc902bf097659,0,0,0,2011-01-15 16:43:08,711,8778,2.1586,9489,10,6,2,1377,6,70559.3644,1,586.6628,4418
9242,dd6162c361dceea4bafedda3c11f78af366d9cab,0,0,0,2011-01-15 17:02:30,487,8778,6.2875,9265,2,3,0,96,115,8481.086,1,602.8684,3568
9226,9d1c38eabe0932682a1da8d7bd8442b563a4d3a4,0,0,0,2011-01-18 11:37:35,9591,103,6.2875,9694,0,0,1,14,5,56153.112,395,151.5203,1925
9296,e50e1ec768c6fba6f07ca183711761c0b9ff8717,0,0,0,2011-01-20 16:14:14,9591,607,2.3468,10198,6,5,0,46,3,46378.0433,1,595.6376,4329
9246,f56fb85529a00eac1d8bb5d3dcc004715b9b019b,0,0,0,2011-01-20 16:35:06,316,213,2.9237,529,15,2,0,1377,155,41854.7091,964,587.8223,3713
9323,f850e77d4ba974eab8ec51636ac58a90ab472d40,0,0,0,2011-01-21 19:06:11,9591,8778,0.1349,18369,100,59,26,1377,7,5749.4771,982,547.7828,3630
9268,d9a2914d0c3fc866e16a2cc4b67f83198a71a16c,0,0,0,2011-01-21 19:18:28,237,163,0.2196,400,4,59,2,54,155,12738.0715,1,549.0841,4322
9332,b7da564a568c38d7d2f8c43dd4388892eb2def3c,0,0,0,2011-01-24 18:52:18,176,8778,1.0944,8954,100,0,0,1377,2,16501.2702,973,557.3926,4325
9333,558f8e80b761c53e1dde10c07d84cc486feb6711,0,0,0,2011-01-25 09:32:00,9591,333,6.2875,9924,100,2,1,67,155,86313.0,1,550.6334,14714
9334,a962be010651a5a21d9e30fa23a58be9b20951d6,0,0,0,2011-01-25 09:37:50,9591,201,0.2036,9792,100,59,2,37,5,60092.0899,1,602.1121,4318
9338,62e9820fdea79c82163031e8d415e5fe7a11f98c,0,0,0,2011-01-25 09:59:29,830,8778,6.2875,9608,100,2,26,1377,6,41581.3599,1,549.3091,4360
9340,cc7c32127d0419ddddadba4864ac123f0f2c0845,0,0,0,2011-01-25 13:07:14,9591,8778,1.0693,18369,3,2,1,12,4,43270.8413,420,173.5963,1676
9345,0ab06d2c21f28200b4aa303fe52bc02e97d29790,0,0,0,2011-01-25 14:37:20,325,8778,0.2418,9103,100,59,26,44,11,65882.4209,976,596.6677,4404
9348,25bf5dc8be5cd2ae6459a543b27893c61eaa5c8a,0,0,0,2011-01-25 14:41:48,296,8778,1.2989,9074,100,0,2,1377,6,54619.3375,965,557.017,3521
9207,c59afdfdb62efc1aff6d0d78e49818d0455556d1,0,0,0,2011-01-25 17:07:49,452,8778,1.211,9230,100,0,2,47,6,68059.826,1,555.6206,3517
9330,f51cd18f807308dfca8b92d64d3d65aab8155786,0,0,0,2011-01-25 17:08:29,414,173,1.2168,587,4,3,0,30,155,67947.3039,977,547.8878,4424
9241,cb1e77871fc50ab40e010d5ce4d4ca1dd74f5f4e,0,0,0,2011-01-26 20:55:43,9591,179,6.2875,9770,100,0,2,1377,1,24486.095,391,192.1706,2141
9234,59a383cde2cbe84f6235fd17afbaab28db9a1169,0,0,0,2011-01-26 22:34:48,1023,300,1.4187,1323,4,3,2,1377,2,83899.774,391,197.0234,1755
9263,f90d0575df79362c4f719a70e8d46bb1d0d9d29f,0,1,0,2011-01-27 10:54:37,637,8778,3.0,9415,20,14,2,72,110,44072.3684,466,216.3137,1308
9274,d4e9af3971d2462690ce3e8d18b55e162d8c5691,0,0,0,2011-01-27 13:47:44,9591,248,6.2875,9839,100,2,0,1377,155,71950.5086,353,170.8483,8821
9325,ae110453452322675913d911c9cea522c03ad434,0,0,0,2011-01-27 16:50:39,599,8778,0.7321,9377,4,4,2,27,4,66267.9721,961,560.8161,4343
9272,1d908cbcefe5b9e02a1def42a2cf4ec9b930987a,0,0,0,2011-01-27 21:00:21,9591,313,1.7029,9904,1,5,2,36,10,59208.9604,1,550.3695,3746
9339,c54d769f41354da7fd2953ac3d7eaea2b1ab568a,0,0,0,2011-01-27 21:41:51,9591,65,0.0782,9656,2,2,1,21,5,38152.3169,420,173.3599,1987
9343,3b219b1f33d1cde3b72012029a0f0cfd0145ef28,0,0,0,2011-01-28 10:19:35,9,322,1.3704,331,1,4,2,42,5,45711.1108,967,598.7868,3666
9347,47e2ecc2f615230a3f9620286030f45e2ef76a7d,0,0,0,2011-01-28 11:36:21,144,46,0.4265,190,3,1,1,12,7,53790.9317,47,44.2807,37
9289,f412988a18f8dea85fb34935b24159124ec27c1c,0,0,0,2011-01-28 15:52:29,9591,8778,1.2761,18369,4,3,3,9,8,55563.0661,16,5.631,14714
9212,4ef753d4aa8e69e341653513c61d18d8d08fe424,0,0,0,2011-01-28 17:50:04,9591,8778,0.1434,18369,100,59,26,46,155,65099.0862,1,602.8472,4681
9255,016e2c83f358f10daa5d89eb0dedbdc3e6ba2fa4,0,0,0,2011-01-28 18:05:27,9591,174,1.1773,9765,5,0,1,1377,3,5112.8401,967,549.8788,4545
9224,1fe936076aa5274125328761308ae5d72e4de5c1,0,0,0,2011-01-28 18:54:41,9591,304,0.1498,9895,100,59,2,36,155,11977.4913,1,552.5617,3498
9227,ab960f264f4ce2cdbe130c0c5b83d20e05c42823,0,0,0,2011-01-28 18:54:53,367,434,0.2493,801,4,59,26,47,6,13710.4956,1,593.3284,14714
