Unnamed: 0,commit_id,tcmt,bugcount,fixcount,author_date,la,ld,ent,churn,nf,nd,ns,nuc,ndev,age,aexp,arexp,asexp
9198,62f30afabae369ce4a81e03457ee5999c59b9fb0,0,0,0,2010-12-17 15:07:10,2651,80,1.9181,2731,6,3,1,39,134,57897.1351,376,575.0,1775
9229,816369425177cedc696f93b6daeedc31e601dd52,0,0,0,2010-12-17 15:07:10,117,2388,1.9127,2505,1,5,1,1068,4,58110.0425,376,575.0,1953
9202,1dfad89e70b40f49ea724bf274ac2561d033a7d3,0,0,0,2010-12-20 17:01:14,9591,21,2.1782,9612,9,11,3,44,34,53744.5457,381,24.8627,1962
9245,b843f1851c334bd6019fe50a29dd6e460183f69d,0,0,0,2010-12-20 17:01:14,433,79,2.2679,512,13,9,3,26,43,53980.7454,371,575.0,1731
9210,7ddfb16a047c6de2e8a7f7be6ac43bf66e248e39,0,0,0,2010-12-21 00:04:59,424,69,2.2732,493,5,1,1,100,8,3605.2243,502,96.4765,1612
9213,4cdb77107316f9ece891a9b5781ecf4c10fcb041,0,0,0,2010-12-22 17:37:07,2814,7302,0.0566,10116,2,1,1,1020,118,66937.6824,243,10.9265,396
9244,5cf06bdfb63382cef07b26db0a63045e0e3004de,0,0,0,2010-12-22 17:37:07,70,7302,0.089,7372,2,31,1,15,1,67073.9265,242,575.0,412
9221,54ee5fa3d278fbfd4ee6850b6e20d04d0d10aea5,0,0,0,2010-12-23 11:18:11,532,3829,1.6216,4361,2,3,12,1033,5,46409.0897,442,25.2652,1711
9225,e5a3a59b33d4d5877588e159db2f5bcea6bad7f4,0,0,0,2010-12-28 20:12:45,2985,2012,0.1198,4997,70,19,6,986,115,76246.9705,450,40.8229,1931
9249,03ce1925cde3637bf51209da8d0a9dbf9fbb4eab,0,0,0,2011-01-06 13:02:56,258,204,5.8891,462,2,44,13,31,138,50630.6442,1000,16.0522,86
9250,290c6a92260ed47abf88f7c701b22fa25b633cbf,0,0,0,2011-01-06 14:52:51,198,127,0.3759,325,5,2,2,937,10,57438.4838,965,548.2613,4412
9251,3d19b6c24b60bdb8147d1b9f04184cb56a5e74d7,0,0,0,2011-01-06 15:15:17,3017,1618,0.2876,4635,75,4,8,76,134,58838.0994,260,546.5162,3741
9252,d224c48e136ef290dbf40dee8e29b21032922a31,0,0,0,2011-01-06 15:21:58,135,74,0.1984,209,7,3,8,937,134,58417.239,972,529.7563,4262
9253,6f52786e44bffd08973fc8a3a45e4a176f53ca41,0,0,0,2011-01-07 13:44:00,0,0,0.0,0,0,0,0,0,0,0.0,40,24.0,0
9254,78cee55f0fc0c43885fc2254e2b14939e17224ee,0,0,0,2011-01-07 15:44:48,37,5083,0.1976,5120,20,1,3,1022,107,70.8941,1,546.0921,155
9247,6b360ebff0da7eaf5551bd6c0542a71b95efacf0,0,0,0,2011-01-07 16:41:09,396,231,0.7133,627,3,5,2,818,112,63436.9141,260,533.7979,4104
9248,ade23c2c463f248e6cdf30e80643abe3bb332eb3,0,0,0,2011-01-07 17:06:00,880,183,3.9069,1063,1,0,3,1022,107,58.8774,975,547.6495,152
