Unnamed: 0,commit_id,tcmt,bugcount,fixcount,author_date,la,ld,ent,churn,nf,nd,ns,nuc,ndev,age,aexp,arexp,asexp
6098,a322a829a586cf03685152f06cc7025d66062202,0,0,0,2003-09-11 14:54:46,75,6,0.0334,81,1,1,1,9,54,52313.17,68,37.1708,266
6092,8169b159895f5f727287f6dff351e61569d03f48,0,0,0,2003-09-11 14:55:37,224,19,0.4611,243,6,3,1,142,59,41089.0316,934,200.0,11549
6097,a93ff66772451264ef054ed19e98448d3f01953b,0,0,0,2003-09-11 14:58:05,362,7,0.0,369,1,1,1,741,3,86308.0,79,60.6783,87
6100,fae44a3dbc26273587a40250d4fa94ff8b2c22a9,0,0,0,2003-09-11 14:59:22,266,7,0.4635,273,25,1,1,62,4,84323.0,183,506.65,12057
6095,87578c39d8d55b8eab63b497391eed80b50120f4,0,0,0,2003-09-11 15:03:45,12,423,0.0731,435,27,13,1,736,54,53338.6026,75,59.4593,201
6096,b9a41b6d1eb59897187c91fbb45526ef347fdeae,0,0,0,2003-09-11 15:06:24,65,20,3.873,85,24,1,2,660,49,86030.0,47,51.1304,1
6104,e7619d322d9d735e947756cf5c87917e1e7921b2,0,0,0,2003-09-11 15:12:03,71,27,1.9134,98,7,4,1,346,51,47669.9552,635,210.9756,11686
6099,82661774a6c5e65d33ab2e7f3c830026c0556f4d,0,0,0,2003-09-11 15:35:29,124,31,1.5449,155,6,5,1,393,52,33170.291,1455,15.8208,1315
6102,1b3f8b9f8a7432daa6f9b49f4a703fa1097e96c4,0,0,0,2003-09-11 15:43:56,779,16,0.0895,795,29,2,1,684,1,86203.0,55,48.6153,353
6106,8b51c36c2360acfbbe7b2b572121f6d447b82a07,0,0,0,2003-09-11 16:01:27,455,3297,0.0719,3752,7,1,1,721,49,55039.4027,651,246.9073,0
6094,6ba7af92409900eb55e0dd46c9b71ea535357feb,0,0,0,2003-09-11 16:07:46,1048,144,0.7822,1192,7,2,1,57,15,46813.6524,934,260.183,11830
6105,f9687e8b03815eb10e960906263f058524e5b880,0,0,0,2003-09-11 16:17:37,111,934,0.5926,1045,25,1,1,97,10,20583.3265,634,443.0,9503
6108,422e8974e233d8e687d9be6bc5f75743478980be,0,0,0,2003-09-11 16:35:38,70,91,4.122,161,30,4,1,2,9,86204.0,1455,436.0,12057
6114,192b631e7be302ecde822546ba70a9853ddbda01,0,0,0,2003-09-11 16:37:42,713,5,0.0,718,2,2,1,15,5,2570.3545,75,58.3623,615
6107,192543f43bf728e3ed887744fa0fcaf33dc460ed,0,0,0,2003-09-11 16:39:12,421,311,0.5919,732,4,2,1,66,1,86030.0,45,43.3377,375
6113,bbadbfd40824d8491df547a8b20f790830ee94a7,0,0,0,2003-09-11 16:45:19,54,15,0.8673,69,2,2,1,59,10,84521.0,1455,506.65,1484
6116,a6ee72a353768d98a43c2f0bd3ac3b1546414b91,0,0,0,2003-09-11 16:48:47,25,79,2.0919,104,1,1,1,721,9,86197.0,83,36.0914,245
6101,af40753aee0a0369706de26c0ab8dd5c7bd0b95c,0,0,0,2003-09-11 16:57:54,23,0,0.9986359641585718,23,2,1,1,6,8,651.0,48,48.0,405
6112,535bf948c749b427e8a1b0e87f4af2e80165fe60,0,0,0,2003-09-11 18:01:39,93,19,0.0,112,3,4,2,1,18,46391.4808,384,182.8693,346
6115,9d244e987eb3611331b3cbebb1e936ae5e70862e,0,0,0,2003-09-11 18:17:37,27,36,0.0,63,1,1,1,2,10,958.0,578,226.0,12057
6103,d686ebbc47931e3063ce7202ade17327f12fb5d8,0,0,0,2003-09-11 18:54:09,4275,2950,4.7115,7225,70,24,5,293,39,74471.6667,578,262.1209,12269
6120,e71542f9a8ed01a1ef4e21a53482a0fd2d54b62f,0,0,0,2003-09-11 19:33:59,53,423,3.2728,476,2,13,1,736,54,86377.0,545,235.9382,11649
6110,45504114aa13670726bd204e29c3e5a8bdc356f4,0,0,0,2003-09-11 20:04:11,70,9,1.357,79,2,1,1,8,9,7249.5958,138,63.7226,12477
6118,65f8c34b408ec4ca6ce16f35dfd47dbb100f978e,0,0,0,2003-09-11 20:12:09,51,423,0.2609,474,3,1,1,736,9,2515.302,72,58.0569,556
6123,51286f1559f59473a50379eea8ac4e4fac34f0f1,0,0,0,2003-09-11 20:24:11,713,139,0.9002,852,2,2,1,43,3,84521.0,131,86.3992,1446
6109,698df9f5b0816e05bbf97a390428f8ef94e0cdbf,0,0,0,2003-09-11 20:51:56,100,379,2.3849,479,6,1,1,598,8,10167.1058,104,80.0532,1193
6121,eb885b0bdbf61bb0a8f37bc4dd4248c4beb9d2e3,0,0,0,2003-09-11 20:58:07,25,17,2.9198,42,2,14,4,10,6,4601.1038,162,16.3542,12477
6125,f604e00970231c359771075b86642ea275c5bf1f,0,0,0,2003-09-11 22:41:35,238,46,3.0719,284,10,1,3,65,30,56331.3589,442,271.9389,37
6128,d1963f1be79aeb0dca8aa012659f725e1ffc96f9,0,0,0,2003-09-12 07:46:13,321,2099,2.9787,2420,12,8,3,1411,21,35738.7166,641,242.5747,11359
6130,4fb3f2922e3aef0c494c315241826a7c9cb8e371,0,0,0,2003-09-12 10:02:58,34,99,0.1365,133,3,1,1,0,0,40654.8864,474,184.7447,11241
6126,e2c6289ab695e2b52dc9dd67338a05142219fed3,0,0,0,2003-09-12 10:15:36,78,11,0.0837,89,1,1,1,0,0,34263.9871,489,205.2593,37
6111,76636a8b0f9ffc07cbb5dc758ed30d413a084c76,0,0,0,2003-09-12 10:52:32,213,86,0.8538,299,4,3,1,21,8,37894.7769,526,245.3969,9
6127,f7ff091a963c69a24f554581e2d3444cee0b3877,0,0,0,2003-09-12 17:58:45,245,13,1.3326,258,6,5,4,142,20,42357.4538,934,223.8111,12463
6132,34d9b8096cbc92714295ce6c681bc8082934a399,0,0,0,2003-09-13 05:36:19,113,80,1.1874,193,3,1,2,6,2,33148.2146,211,87.8429,12358
6124,3bf1171e37bb8e093687f4aa5cbd2e8009c1adaa,0,0,0,2003-09-13 06:36:08,15,18,1.2581,33,10,8,3,9,23,34299.7058,398,259.7453,1
6133,198bddc586a97a05e26c146541bf46b7aade1730,0,0,0,2003-09-13 06:45:27,713,139,0.9137,852,2,1,1,85,4,66088.959,136,77.8072,12057
6119,797fdd674036b65151138b10aecb475c8b26a9f5,0,0,0,2003-09-13 07:53:04,439,43,2.4918,482,2,3,2,142,0,42047.1196,934,200.0,12018
6136,ea53eef5ce6a983fc8d35ccfe4bfeff0e6d9c65c,0,0,0,2003-09-13 13:07:47,162,19,3.9724,181,32,15,4,142,9,34587.7472,610,200.0,12597
6138,44ef41e36b833081ab4a689170a4871ccabe7aaa,0,0,0,2003-09-13 13:10:13,390,236,0.1368,626,2,1,2,215,25,57310.9455,578,401.0,12426
6129,b8cd37938ed7a1779294f8f5da01b4e4675e9f9a,0,0,0,2003-09-13 13:34:21,1048,140,1.6711,1188,10,2,3,745,30,45881.865,934,253.6968,11834
6135,0bb5a5fd890ad6ca46694555b208d3c30328e879,0,0,0,2003-09-13 17:59:07,22,18,0.2607,40,3,3,1,34,1,36822.0114,1455,30.6207,955
6122,28fb7a567bcd349164067b330a4c3225894071e4,0,0,0,2003-09-13 18:47:42,116,6,0.6315,122,3,3,2,230,23,30592.6734,468,208.5359,11328
6140,5a787ab2b618731249d84b9fe612924d27d5edfb,0,0,0,2003-09-15 08:06:02,63,27,1.4253,90,3,3,1,32,7,46181.3695,668,209.305,12420
6141,1dc96b90f0612ad2642a415227379e02c48a4e5e,0,0,0,2003-09-18 14:22:49,29,4,0.0,33,2,2,1,26,9,29346.2904,77,63.7871,721
6131,f53518d75b28e0e796c2910fbeda51989233a5cf,0,0,0,2003-09-18 14:26:03,105,236,0.205,341,2,2,2,215,52,43370.9202,578,241.0602,12426
6137,1118237196e19816492fe64a21f6509c1c78d892,0,0,0,2003-09-18 14:37:12,2611,288,1.6889,2899,7,1,1,15,8,23927.2323,764,291.939,11390
