Unnamed: 0,commit_id,tcmt,bugcount,fixcount,author_date,la,ld,ent,churn,nf,nd,ns,nuc,ndev,age,aexp,arexp,asexp
15,4e8e3e6573926bdd227b4b499e14bb8da6727dce,0,0,0,2014-02-20 12:09:51,369,148,0.0,517,1,1,1,0,0,58191.0,1669,562.0,40496
13,4d024ca9dc64d7b65171446e5c4b668eb6b7e34d,0,1,0,2014-02-21 09:13:57,14,16,3.214273139189499,30,14,4,3,1,10,49651.92857142857,1669,562.0,41075
14,6efcb1cbec512883920956a50d54e4843dd1760b,0,0,0,2014-02-21 10:46:35,81,81,1.9588718484453604,162,4,4,2,2,10,41285.75,1669,562.0,41420
3,beaa161dc486fa56b95a946e36e3e4b1b31ec7a4,0,0,0,2014-02-21 11:26:01,3,3,0.9182958340544896,6,7,7,5,1,53,48755.71428571428,200,200.0,1002
4,129bf3d4722477f12b1e8b175baa91daef8180fb,0,0,0,2014-02-21 16:08:36,3,1,0.0,4,14,2,1,0,0,72516.0,200,200.0,866
5,5d34e8b3975c13fe99401544200384e9f24cd78b,0,0,0,2014-02-21 16:09:08,1,1,0.0,2,1,1,1,0,0,72548.0,200,200.0,81
7,d46db7e0470075125e8c8a24a283ee66dc16b13d,0,0,0,2014-02-22 20:30:43,44,28,1.7565061302331415,72,9,8,3,2,53,48469.55555555556,188,188.0,758
8,ab5fce8cc7d2a0efad2b99305ec3cc5059c141f4,0,0,0,2014-02-23 02:11:55,6,6,0.8023720463635056,12,10,5,4,3,53,42215.3,188,188.0,761
10,732a0d4abebce7aa3c68f4a900f9469422c622bd,0,0,0,2014-02-23 10:54:10,84,78,3.74362004575969,162,15,3,2,1,7,66608.4,200,200.0,947
18,04c891f258f571280acadd8f095caf7df9872930,0,1,0,2014-02-23 16:54:54,19,17,2.030130454218201,36,28,23,3,7,53,70994.14285714286,617,325.0,3957
33,e626f3a626bc6ddf9b267fc3f3d245b5eec8e594,0,0,0,2014-02-23 19:53:35,7,1,2.349374166002764,8,17,10,3,13,53,65745.29411764706,550,214.0,4112
31,5e375cb71b01ae5935ba42620f3c69864f4423a4,0,0,0,2014-02-23 20:42:30,163,98,0.0,261,1,1,1,0,0,2550.0,550,214.0,3900
17,1dfb8b8d6046f5323789aadd48c45de51d53f952,0,0,0,2014-02-23 20:47:44,10,857,1.5384817981385304,867,7,5,2,0,0,46064.0,188,188.0,679
19,b6dae24bd5fdecd2e3cfe39630c04da216c0f881,0,0,0,2014-02-24 02:06:23,2,1,3.231733375138865,3,38,11,2,1,4,63783.13157894737,892,357.0,4661
20,24fdd9eed58a2b6736f18201559b358c518381cd,0,0,0,2014-02-24 02:31:03,6,1,0.0,7,1,1,1,0,0,66663.0,892,357.0,4568
21,c93cd5a9cbbbb6fea089c9fb88409200e9cc6ae3,0,0,0,2014-02-24 02:40:01,4,3,0.0,7,2,2,2,4,53,34443.5,188,188.0,226
25,17ac609b924c6badb7260a07b3499577aea901c0,0,0,0,2014-02-24 04:11:58,6,1,3.478264429102589,7,22,6,1,1,6,46052.22727272727,892,357.0,4568
26,ca1e4bb7f64d9582cd49b3547f927b1feaa94f1d,0,0,0,2014-02-24 05:20:08,19,14,0.6027487978021719,33,7,4,3,7,53,28358.42857142857,188,188.0,758
29,7cbe05fdadb92a8eb53f631dbbc8aaf17f8bd420,0,0,0,2014-02-24 05:22:12,531,278,0.0,809,1,1,1,2,1,124.0,188,188.0,147
39,f48033b580ef88effa38625365631e268b0ebd56,0,0,0,2014-02-24 06:33:55,231,214,1.9237949406953985,445,10,3,2,7,53,67002.7,188,188.0,226
37,425c61c15e509cdfee26ad5b8e96df26b92addf4,0,0,0,2014-02-24 06:35:49,53,53,0.0,106,1,1,1,2,5,30281.0,617,325.0,3585
35,b366547c3be08b68fd958c674f17447a287df799,0,0,0,2014-02-24 06:59:48,3,0,0.9864267287308424,3,3,2,2,1,3,39973.0,550,214.0,3979
40,f8da1fe7469026b9303394469dbb86d7de172f20,0,0,0,2014-02-24 07:09:07,46,33,1.2475562489182657,79,3,2,1,7,10,26229.33333333333,550,214.0,3907
43,8fa14a92118886b3f001eb2b2872d5bb561fcb75,0,0,0,2014-02-24 07:12:29,15,9,0.6997609589370422,24,5,2,2,8,53,22590.4,188,188.0,226
41,bf19fec3f2d89bb032b266e35fb44799baa67d03,0,0,0,2014-02-24 07:19:22,6,12,1.5984202986173217,18,6,6,1,1,6,39168.16666666666,335,327.0,1221
0,298468682da7941dcbb3d3acd77b8c9b0d7d10eb,0,0,0,2014-02-24 07:25:53,1,3,0.0,4,1,1,1,1,2,391.0,335,327.0,1221
1,e9489cc6f97ca74ea7fd55fff7e2f322e54142b6,0,0,0,2014-02-24 07:48:50,21,15,0.4889085914405152,36,3,3,3,9,53,30030.666666666668,188,188.0,758
2,e05bfa9ba8254683a30c133333c69aad02b3c856,0,0,0,2014-02-24 08:57:16,28,42,0.0,70,1,1,1,1,6,57742.0,335,327.0,1221
6,6b576f966db0f0daf322fc376e808aaccad2d520,0,0,0,2014-02-24 09:18:57,4,0,0.0,4,1,1,1,3,5,9788.0,617,325.0,3585
9,c3e4520bd9c3cc4aa84e273b52c65dce0619fe10,0,0,0,2014-02-24 09:47:05,12,7,0.6988907082399578,19,6,5,3,11,53,8340.166666666666,188,188.0,758
