Unnamed: 0,commit_id,tcmt,bugcount,fixcount,author_date,la,ld,ent,churn,nf,nd,ns,nuc,ndev,age,aexp,arexp,asexp
15,4e8e3e6573926bdd227b4b499e14bb8da6727dce,0,0,0,2014-02-20 12:09:51,2908,2470,5.0875,5378,3,32,2,43,4,52080.178,1669,1014.0,536
14,6efcb1cbec512883920956a50d54e4843dd1760b,0,0,0,2014-02-21 10:46:35,5462,328,2.2901,5790,9,52,2,1597,5,44834.3382,3,614.3465,12
4,129bf3d4722477f12b1e8b175baa91daef8180fb,0,0,0,2014-02-21 16:08:36,4018,21,0.1798,4039,15,3,1,30,2,69634.705,257,170.8713,1797
5,5d34e8b3975c13fe99401544200384e9f24cd78b,0,0,0,2014-02-21 16:09:08,26,22,0.4476,48,90,2,2,499,2,79029.0,112,245.3119,2052
7,d46db7e0470075125e8c8a24a283ee66dc16b13d,0,0,0,2014-02-22 20:30:43,228,178,1.3216,406,5,6,1,23,50,48641.7883,82,251.044,41420
18,04c891f258f571280acadd8f095caf7df9872930,0,1,0,2014-02-23 16:54:54,260,0,2.367,260,23,20,3,30,46,62923.5248,565,327.0,50
33,e626f3a626bc6ddf9b267fc3f3d245b5eec8e594,0,0,0,2014-02-23 19:53:35,267,0,2.6877,267,14,9,3,13,46,50879.8566,736,115.5163,40521
31,5e375cb71b01ae5935ba42620f3c69864f4423a4,0,0,0,2014-02-23 20:42:30,235,234,6.2493,469,98,44,3,285,4,7353.953,542,216.1177,101
17,1dfb8b8d6046f5323789aadd48c45de51d53f952,0,0,0,2014-02-23 20:47:44,33,69,1.422,102,6,5,2,30,57,48243.5128,82,248.1634,40521
20,24fdd9eed58a2b6736f18201559b358c518381cd,0,0,0,2014-02-24 02:31:03,36,359,4.5798,395,35,2,2,587,43,63099.2541,892,365.4695,93
21,c93cd5a9cbbbb6fea089c9fb88409200e9cc6ae3,0,0,0,2014-02-24 02:40:01,1979,182,0.2396,2161,18,2,2,35,47,39853.4279,376,262.7586,5583
26,ca1e4bb7f64d9582cd49b3547f927b1feaa94f1d,0,0,0,2014-02-24 05:20:08,23,84,0.375,107,9,5,3,1037,57,23467.3,73,110.4789,2405
29,7cbe05fdadb92a8eb53f631dbbc8aaf17f8bd420,0,0,0,2014-02-24 05:22:12,3821,795,5.0418,4616,76,45,1,135,3,85737.0,238,218.4111,158
39,f48033b580ef88effa38625365631e268b0ebd56,0,0,0,2014-02-24 06:33:55,2837,606,1.6469,3443,13,2,2,35,40,61776.2671,250,133.5247,3327
37,425c61c15e509cdfee26ad5b8e96df26b92addf4,0,0,0,2014-02-24 06:35:49,39,843,0.1783,882,89,2,1,664,6,30090.8546,564,361.1576,2566
35,b366547c3be08b68fd958c674f17447a287df799,0,0,0,2014-02-24 06:59:48,838,253,0.989,1091,3,2,2,16,1,37152.4295,594,244.1086,5872
40,f8da1fe7469026b9303394469dbb86d7de172f20,0,0,0,2014-02-24 07:09:07,434,159,1.5168,593,2,1,2,133,5,20315.1458,617,223.3051,3746
0,298468682da7941dcbb3d3acd77b8c9b0d7d10eb,0,0,0,2014-02-24 07:25:53,166,4,0.0,170,1,4,1,5,1,1079.5151,354,316.2561,953
1,e9489cc6f97ca74ea7fd55fff7e2f322e54142b6,0,0,0,2014-02-24 07:48:50,1,166,0.7005,167,3,1,3,50,47,36541.2197,344,301.275,41420
2,e05bfa9ba8254683a30c133333c69aad02b3c856,0,0,0,2014-02-24 08:57:16,5,141,0.0,146,2,1,1,417,4,60451.3815,309,301.024,2215
6,6b576f966db0f0daf322fc376e808aaccad2d520,0,0,0,2014-02-24 09:18:57,101,13,0.0587,114,2,2,1,18,6,10793.5691,652,339.1386,2760
27,0f9570ede24e462a8315d271a83f658cdb7d3477,0,0,0,2014-02-24 09:55:13,8,17,0.0314,25,10,1,2,14,4,10572.1114,593,288.1055,1902
12,291e4d1f2081cc2832ea18f5719b1d6e8778b035,0,0,0,2014-02-24 10:11:08,53,77,0.4349,130,3,4,2,44,5,4277.5924,324,97.7479,40521
16,d0a7a2d9de61ff9aefc4722dc4ac86b6f2236768,0,1,0,2014-02-24 10:39:23,337,138,1.7576,475,20,14,3,64,56,8786.9824,279,263.6736,40521
23,d2314752c4cd29e68bc3b39a85c1b6a629a37294,0,0,0,2014-02-24 13:14:43,37,277,2.7535,314,7,4,1,0,0,60140.3815,1563,510.695,2
24,765e6b993f32511e6d0d1e3c750f20b6e5e15eaf,0,0,0,2014-02-24 13:39:26,32,277,4.5832,309,2,8,1,0,0,61147.6086,251,295.9308,40521
28,2aaff0d8daa9e2ceeadba7ed972f4f28889bd6aa,0,0,0,2014-02-24 15:55:59,427,281,1.5546,708,9,4,1,122,35,27679.5773,599,269.3333,3907
32,e99fafbd4c0e4ac3012b1f0c704c97a9231e9bd2,0,0,0,2014-02-24 23:22:25,319,1473,2.5019,1792,33,18,3,97,2,18762.0,707,372.4865,40529
22,89c66e95fe9f58e16b1d2b9319c88e2e0c9ee6aa,0,0,0,2014-02-25 03:13:57,181,2341,2.2541,2522,66,28,1,77,56,63035.4363,129,116.3202,41486
34,e6faf3d3b1179eec6ec4b1bd962be4b48351eb42,0,0,0,2014-02-25 06:42:03,32,52,0.8373,84,2,1,2,133,9,22227.0793,617,331.0,3895
42,b4faf8511ccae054ccccd779b22f0a7afb07c0f1,0,0,0,2014-02-25 08:37:43,3641,0,2.1079,3641,15,11,3,35,41,21560.904,234,200.0,468
36,991e6d406dbc60216ba83a0ff939a5a1cfbde1c2,0,0,0,2014-02-25 11:12:14,511,203,0.7968,714,4,2,2,122,9,66512.7165,598,295.6595,3283
51,2c49586c5acdc34c45617089a21dcfd516843de2,0,0,0,2014-02-25 12:23:01,383,407,3.6036,790,38,10,3,90,56,52024.3069,508,399.6583,41420
47,4e960adde9329bcc5be86ef5135ed0f7f01278e2,0,0,0,2014-02-25 12:47:03,539,183,1.4699,722,22,8,1,122,9,73402.4836,595,269.3333,2008
53,121b03602b602ee13552ade1bcf2789da64f6198,0,0,0,2014-02-25 12:52:16,1289,448,1.9032,1737,10,7,2,61,58,45842.74,412,238.1083,40521
45,bfbe207489fce2839881974b7b1acf00754064c9,0,0,0,2014-02-25 12:59:00,30,6,0.0,36,1,1,1,313,4,80200.2633,286,307.9999,493
46,475bf54d78c9d54a93d01ef90d4b124790a3b8a6,0,0,0,2014-02-25 14:25:01,270,14,2.1556,284,1,1,1,8,36,69963.2998,543,332.7589,993
48,170be2827ee276089dcae2ec5c6124d4223eb53d,0,0,0,2014-02-25 15:39:01,117,146,1.4865,263,5,2,2,621,54,53537.0769,292,296.7182,40521
58,6e67267270c7d549c7c5a95bc829044573c89402,0,0,0,2014-02-25 18:12:55,2837,6434,0.4468,9271,4,3,2,64,40,27609.775,29,140.3677,41057
54,79e48491b9d1ec670a51e04d47466974a2f168f6,0,0,0,2014-02-25 19:43:13,57,140,1.3661,197,5,3,1,189,5,51816.2556,892,476.0,4568
52,2aea1d52520e07dc875f8e0d80e8d80301374632,0,0,0,2014-02-25 21:05:38,337,6,0.0,343,1,1,1,11,4,36097.7989,849,384.7384,3517
55,14e6320364df635287f56ad2884c2a87b61690c8,0,0,0,2014-02-25 21:19:46,602,277,2.3226,879,3,1,1,0,0,45052.706,830,403.4328,2508
59,70e8e519e07255e6eafb20a14e2db61fc12d0e5f,0,0,0,2014-02-26 00:27:00,113,64,0.1315,177,4,3,1,1021,5,53236.4096,161,169.7104,40521
50,10445aa32908c69520bb1de6fef9c3dbb1639f90,0,0,0,2014-02-26 02:03:29,19,24,0.6478,43,3,2,3,393,2,36935.8796,303,153.4937,2949
60,0f2ad10666ae7a8051f03717e077d2f21e371629,0,0,0,2014-02-26 03:19:27,18,13,0.4712,31,2,2,1,4,3,47122.2422,288,222.1924,41420
63,27b9286d77f15be56a4a3221a82c505aad8c5001,0,0,0,2014-02-26 05:52:10,165,408,0.494,573,5,2,2,434,49,35179.1528,523,395.1079,4319
64,57063fa0f869a831e8b607fac18f14e7ead3fdf4,0,0,0,2014-02-26 06:50:19,4018,1125,1.4143,5143,2,2,1,19,4,44529.5797,1,541.3046,39863
71,4d5ec8e09ce8fd5d481529427e86546ae3f3a874,0,1,0,2014-02-26 07:27:11,2253,0,3.0146,2253,1,2,2,97,43,47710.8807,617,341.4509,3132
62,2fc12a61d8db0be7323a47fd53b632ea74133de7,0,0,0,2014-02-26 07:54:32,25,72,1.152,97,7,2,2,5,5,70445.9924,836,313.0515,6803
67,b89ffaaf376ca3adaee2fcd827b848db27bf6864,0,0,0,2014-02-26 08:10:46,8102,128,3.863,8230,99,8,2,862,12,64797.6096,558,327.9676,3760
66,7e679d32a293a2ee8daebae3269006e3c2013826,0,0,0,2014-02-26 08:58:15,45,19,0.0646,64,6,1,1,3,3,17830.1049,255,210.9215,2426
56,ef4a0d788fdc54a55cd8931cfd0ee411181dd601,0,0,0,2014-02-26 09:06:38,12,347,2.1556,359,1,1,1,302,36,44164.3039,1,529.3173,38909
65,8d93a17e7f1f37846d5de6c8b257462952846143,0,0,0,2014-02-26 10:22:15,13,14,0.0,27,1,1,2,13,4,5775.8392,1624,585.3483,39908
73,fc18e1b40aed35e3b19a67f4b8d23f37dd2e2100,0,0,0,2014-02-26 12:09:30,26,27,0.142,53,1,1,1,302,36,79188.9547,1,628.2499,3240
77,e1812413956fdbd5021c0cd7a9f6a847b63774da,0,0,0,2014-02-26 12:33:43,27,40,0.361,67,2,1,1,3,2,81499.006,1546,485.3109,4942
79,757ecba81536fcfe326b63d0c64d0241ab4c65ee,0,0,0,2014-02-26 13:07:22,348,58,0.9959,406,76,5,1,135,3,85737.0,372,353.9295,173
70,35fdab808fe78373217b1745658e3ea02521b1df,0,0,0,2014-02-26 13:12:27,3,1,0.0,4,16,4,2,417,4,4145.2956,311,341.4822,40521
76,a09c66da6eddd8f6f7cf80f0a96ab5ea9fa91eab,0,0,0,2014-02-26 13:30:16,2908,2470,0.9435,5378,56,32,1,572,54,41376.6902,1669,613.5162,5077
81,282a90d4b1975dbd3dcab2c9631c08d89c264e18,0,0,0,2014-02-26 13:31:52,84,47,3.3152,131,13,4,1,40,8,13925.1745,693,360.1654,41420
82,8f66e9ad4dcb283e9c0d9f42b6a94a56d8db846d,0,0,0,2014-02-26 14:38:09,3821,795,5.0418,4616,76,6,1,14,1,85737.0,561,246.2176,198
91,bb92f241c4dfc78f2d218e133604d7d7737ff42f,0,0,0,2014-02-26 15:13:51,2444,813,2.9227,3257,17,12,1,112,47,61022.113,1669,1014.0,3197
