Unnamed: 0,commit_id,tcmt,bugcount,fixcount,author_date,la,ld,ent,churn,nf,nd,ns,nuc,ndev,age,aexp,arexp,asexp
15,4e8e3e6573926bdd227b4b499e14bb8da6727dce,0,0,0,2014-02-20 12:09:51,47,9176,0.0146,9223,99,57,8,1885,0,58409.1288,1,559.2572,40647
13,4d024ca9dc64d7b65171446e5c4b668eb6b7e34d,0,1,0,2014-02-21 09:13:57,904,764,3.0276,1668,16,5,3,1885,8,47739.0541,1627,579.3291,1
14,6efcb1cbec512883920956a50d54e4843dd1760b,0,0,0,2014-02-21 10:46:35,120,9176,1.8801,9296,2,5,2,25,9,40149.9473,1654,554.0226,40859
4,129bf3d4722477f12b1e8b175baa91daef8180fb,0,0,0,2014-02-21 16:08:36,169,9176,0.11,9345,16,1,1,36,80,74181.9862,221,214.6512,508
5,5d34e8b3975c13fe99401544200384e9f24cd78b,0,0,0,2014-02-21 16:09:08,9094,9176,6.3923,18270,2,2,8,1885,80,71957.0972,214,213.8184,398
18,04c891f258f571280acadd8f095caf7df9872930,0,1,0,2014-02-23 16:54:54,695,677,1.749,1372,34,26,3,1885,57,67028.4065,559,365.2376,5915
31,5e375cb71b01ae5935ba42620f3c69864f4423a4,0,0,0,2014-02-23 20:42:30,108,9176,6.3923,9284,2,57,1,35,2,793.7948,532,200.989,3264
17,1dfb8b8d6046f5323789aadd48c45de51d53f952,0,0,0,2014-02-23 20:47:44,9094,9176,1.5993,18270,8,6,2,1885,80,46871.1115,205,175.1103,42051
20,24fdd9eed58a2b6736f18201559b358c518381cd,0,0,0,2014-02-24 02:31:03,229,135,6.3923,364,99,57,8,1885,1,67736.9767,910,335.0907,5525
21,c93cd5a9cbbbb6fea089c9fb88409200e9cc6ae3,0,0,0,2014-02-24 02:40:01,9094,94,6.3923,9188,3,1,2,1885,54,33233.8942,204,195.815,42051
29,7cbe05fdadb92a8eb53f631dbbc8aaf17f8bd420,0,0,0,2014-02-24 05:22:12,9094,126,0.1176,9220,3,57,1,31,2,86381.0,169,209.1193,1062
37,425c61c15e509cdfee26ad5b8e96df26b92addf4,0,0,0,2014-02-24 06:35:49,9094,61,6.3923,9155,2,1,1,19,6,30750.8899,606,319.6081,3222
35,b366547c3be08b68fd958c674f17447a287df799,0,0,0,2014-02-24 06:59:48,123,9176,0.8579,9299,2,1,2,1885,4,41173.669,523,201.0069,3332
40,f8da1fe7469026b9303394469dbb86d7de172f20,0,0,0,2014-02-24 07:09:07,97,113,1.1695,210,2,1,8,1885,11,25707.6547,531,201.4128,3428
41,bf19fec3f2d89bb032b266e35fb44799baa67d03,0,0,0,2014-02-24 07:19:22,9094,64,1.6459,9158,7,6,8,20,5,38513.2326,349,332.8067,1430
0,298468682da7941dcbb3d3acd77b8c9b0d7d10eb,0,0,0,2014-02-24 07:25:53,9094,9176,0.0783,18270,99,57,8,1885,3,1972.8393,357,316.0364,684
1,e9489cc6f97ca74ea7fd55fff7e2f322e54142b6,0,0,0,2014-02-24 07:48:50,200,234,0.4006,434,4,2,3,1885,54,29255.7273,159,172.8857,1440
2,e05bfa9ba8254683a30c133333c69aad02b3c856,0,0,0,2014-02-24 08:57:16,68,9176,6.3923,9244,2,57,8,23,5,56869.4225,352,320.3028,899
6,6b576f966db0f0daf322fc376e808aaccad2d520,0,0,0,2014-02-24 09:18:57,9094,115,0.0712,9209,99,57,1,33,6,10907.6185,641,340.0755,4031
27,0f9570ede24e462a8315d271a83f658cdb7d3477,0,0,0,2014-02-24 09:55:13,9094,9176,0.0731,18270,99,57,8,1885,3,10266.0891,627,309.0202,2146
12,291e4d1f2081cc2832ea18f5719b1d6e8778b035,0,0,0,2014-02-24 10:11:08,169,101,0.7385,270,2,3,2,18,4,10599.3196,214,169.3699,133
16,d0a7a2d9de61ff9aefc4722dc4ac86b6f2236768,0,1,0,2014-02-24 10:39:23,9,347,1.8757,356,19,10,3,56,50,16955.0614,239,165.3951,42051
23,d2314752c4cd29e68bc3b39a85c1b6a629a37294,0,0,0,2014-02-24 13:14:43,118,9176,2.46,9294,5,3,1,1885,80,61129.8562,1647,568.3233,40979
24,765e6b993f32511e6d0d1e3c750f20b6e5e15eaf,0,0,0,2014-02-24 13:39:26,59,93,0.0476,152,99,2,1,13,1,62718.9181,326,319.4232,1436
28,2aaff0d8daa9e2ceeadba7ed972f4f28889bd6aa,0,0,0,2014-02-24 15:55:59,77,94,0.7705,171,4,3,8,1885,3,48083.3207,599,287.3013,560
34,e6faf3d3b1179eec6ec4b1bd962be4b48351eb42,0,0,0,2014-02-25 06:42:03,91,9176,0.7084,9267,2,57,1,1885,3,27527.6488,576,202.2101,4473
30,6040053dc9da30ecee28dff2ba077c4335818af9,0,0,0,2014-02-25 07:40:40,156,128,2.0222,284,4,3,1,1885,7,39385.1454,351,317.959,877
