Unnamed: 0,commit_id,tcmt,bugcount,fixcount,author_date,la,ld,ent,churn,nf,nd,ns,nuc,ndev,age,aexp,arexp,asexp
15,4e8e3e6573926bdd227b4b499e14bb8da6727dce,0,0,0,2014-02-20 12:09:51,1910,95,0.3957,2005,84,36,1,52,3,57876.9247,1669,588.0351,41420
14,6efcb1cbec512883920956a50d54e4843dd1760b,0,0,0,2014-02-21 10:46:35,199,181,2.6157,380,12,6,2,794,15,41960.9338,1669,1014.0,41346
3,beaa161dc486fa56b95a946e36e3e4b1b31ec7a4,0,0,0,2014-02-21 11:26:01,4058,611,0.5143,4669,12,5,5,55,59,48985.1842,247,238.3501,701
4,129bf3d4722477f12b1e8b175baa91daef8180fb,0,0,0,2014-02-21 16:08:36,52,101,0.1311,153,12,3,3,340,3,72691.4632,224,226.5765,752
5,5d34e8b3975c13fe99401544200384e9f24cd78b,0,0,0,2014-02-21 16:09:08,38,947,0.1188,985,34,1,3,10,2,72438.5694,179,181.1919,164
18,04c891f258f571280acadd8f095caf7df9872930,0,1,0,2014-02-23 16:54:54,115,860,1.3199,975,34,1,1,340,48,71706.9842,511,429.2096,4486
31,5e375cb71b01ae5935ba42620f3c69864f4423a4,0,0,0,2014-02-23 20:42:30,293,19,0.1176,312,2,24,2,737,1,2592.636,537,208.3097,3934
17,1dfb8b8d6046f5323789aadd48c45de51d53f952,0,0,0,2014-02-23 20:47:44,3703,6434,1.3288,10137,5,6,2,1213,2,45871.0008,129,160.7114,511
20,24fdd9eed58a2b6736f18201559b358c518381cd,0,0,0,2014-02-24 02:31:03,4094,33,4.787,4127,3,2,3,1436,3,66761.8498,835,335.4715,4
21,c93cd5a9cbbbb6fea089c9fb88409200e9cc6ae3,0,0,0,2014-02-24 02:40:01,173,276,6.0063,449,5,3,2,46,55,34577.3941,230,201.2905,106
25,17ac609b924c6badb7260a07b3499577aea901c0,0,0,0,2014-02-24 04:11:58,23,190,3.3611,213,21,7,1,25,4,45969.7362,865,340.7935,4464
29,7cbe05fdadb92a8eb53f631dbbc8aaf17f8bd420,0,0,0,2014-02-24 05:22:12,301,17,4.0276,318,2,18,1,387,53,3034.0,156,174.4908,69
37,425c61c15e509cdfee26ad5b8e96df26b92addf4,0,0,0,2014-02-24 06:35:49,2101,121,0.1076,2222,3,43,1,28,8,30089.4711,651,304.0912,3469
35,b366547c3be08b68fd958c674f17447a287df799,0,0,0,2014-02-24 06:59:48,2350,458,1.1698,2808,7,44,2,762,1,39800.8738,589,235.6066,3888
40,f8da1fe7469026b9303394469dbb86d7de172f20,0,0,0,2014-02-24 07:09:07,93,88,1.0256,181,89,43,4,27,12,31434.0,567,196.2678,4030
43,8fa14a92118886b3f001eb2b2872d5bb561fcb75,0,0,0,2014-02-24 07:12:29,3935,271,1.0251,4206,2,6,2,799,50,22340.1024,143,206.9434,376
41,bf19fec3f2d89bb032b266e35fb44799baa67d03,0,0,0,2014-02-24 07:19:22,2822,26,1.6911,2848,7,7,1,25,7,39058.6856,377,361.0418,1124
0,298468682da7941dcbb3d3acd77b8c9b0d7d10eb,0,0,0,2014-02-24 07:25:53,301,319,0.2687,620,3,18,1,28,53,258.4183,280,350.1639,1131
1,e9489cc6f97ca74ea7fd55fff7e2f322e54142b6,0,0,0,2014-02-24 07:48:50,262,316,0.0387,578,8,5,3,1227,49,29796.3946,280,224.1204,611
2,e05bfa9ba8254683a30c133333c69aad02b3c856,0,0,0,2014-02-24 08:57:16,134,3268,0.231,3402,81,2,1,54,4,57585.3136,309,342.9705,1325
