Unnamed: 0,commit_id,tcmt,bugcount,fixcount,author_date,la,ld,ent,churn,nf,nd,ns,nuc,ndev,age,aexp,arexp,asexp
390,ff98c0ebb3f5dfdffd3462f4271ca777fc899214,0,0,0,2011-10-30 14:16:48,8,3,0.0,11,7,1,1,681,1,36031.9182,29,3.67,2
155,64341eedf993c0738dcd42fb41fd193c184f3464,0,0,0,2011-11-23 06:26:37,616,216,1.5577,832,4,4,2,632,179,79061.2,317,13.0241,203
34,88a0f06ac7f104220b2d92f66599089a9e1d4c92,0,0,0,2011-11-27 02:39:57,179,1432,1.9276,1611,4,4,2,0,0,80331.8154,25,171.5,337
0,adf912b98c527f5f92686543963c1665dee8c119,0,0,0,2011-11-30 01:47:19,40,38,1.3135,78,4,2,4,983,6,78391.2705,28,211.5,44
9,0d54770ee109bc7d598539b9238affdd1880997b,0,0,0,2011-11-30 05:19:49,120,97,1.6918,217,7,5,3,632,179,7006.9001,113,23.0854,222
3,01afc61e6201ea22926f27e82280f0b3c6f2362f,0,0,0,2011-11-30 13:37:08,32,21,0.0,53,7,3,1,681,38,20109.4528,1,22.322,1918
5,7c11490677bc49086271ee377e6a8076eebe15f6,0,0,0,2011-11-30 16:31:26,209,42,0.5406,251,3,1,3,35,11,41724.3029,317,17.4228,194
8,b69e89f60c635f1e0fb5e25696e3b5ad26416b56,0,0,0,2011-11-30 18:46:11,584,537,0.5357,1121,7,2,2,21,140,51229.1554,317,11.2576,2305
2,9dbcd8bbc742ab14d40aef60c9cacb25e6909988,0,0,0,2011-11-30 22:40:38,3319,4,0.761,3323,3,2,2,524,7,66618.0537,6,230.0,1979
7,f6c74d6563e48df6a8a7ff09a27d812840f23d02,0,0,0,2011-11-30 23:55:46,27,350,0.669,377,2,2,4,728,25,77311.1894,317,193.5,2
6,3b29258ed305993789070f2d1cc987d76a432f6b,0,0,0,2011-12-01 01:01:31,127,10,0.8537,137,1,2,2,742,117,71045.3333,22,41.0,6
10,15350bef95a1d34bf302c3516c9616d6dc314d56,0,0,0,2011-12-01 03:21:20,4595,47,2.4777,4642,7,6,1,60,143,41078.9757,43,14.4539,161
12,5335b4ab0ef1f91203905764de6fcc7e53cb2934,0,0,0,2011-12-01 03:33:20,856,281,2.6232,1137,14,7,2,58,168,65356.4045,105,18.5758,66
4,dd56fd39d558c4052c307e617325a8631016ec70,0,0,0,2011-12-01 03:33:21,76,1935,0.639,2011,3,2,1,17,36,29132.6632,87,251.0,133
13,85f9d927f5becfca94e90941a3f01f96c6dbf439,0,0,0,2011-12-01 22:27:18,12,5,0.0,17,7,1,2,7,2,63864.8072,7,251.0,2178
24,1598696554bd89ed1a51d7851bde48e03608a845,0,0,0,2011-12-02 00:56:50,664,53,3.7818,717,25,7,1,49,9,66463.5,58,12.4574,365
41,d8e84937c19169e3de73e7ad6b7382d954d753ac,0,0,0,2011-12-02 05:58:51,770,309,2.1016,1079,7,6,1,51,7,76165.5556,1,15.7688,45
22,93cf1f24bfbc3c51cde477ccfe3e508c7953699e,0,0,0,2011-12-02 14:34:49,459,44,3.4545,503,20,2,2,358,39,21304.9934,3,2.5,1
20,fb0f0388dee8c7cd612beaa065be8afd06fb2540,0,0,0,2011-12-02 20:59:37,16,273,0.0,289,1,3,1,9,24,77218.4529,317,6.7366,27
17,4f52cd9e24b8816c3079814394479ecc7608e753,0,0,0,2011-12-02 21:30:13,22,273,0.0,295,7,1,2,681,132,61383.0566,78,251.0,174
28,91cfa62b4a09cafa8af0772c68d36de9216dc440,0,0,0,2011-12-02 21:37:32,545,48,1.1716,593,5,4,5,565,38,52037.4615,82,68.0,152
25,2e000f35023dfe096e94e95b0673e209d93acef9,0,0,0,2011-12-03 04:54:35,154,57,0.0558,211,61,2,2,0,0,83380.633,32,171.5,39
19,f68abf9b0e3e2ba206c560c19db321c6f88670f1,0,0,0,2011-12-05 14:30:45,81,122,1.517,203,6,3,5,862,114,39782.2015,27,230.0,1929
29,98b1ef337ee63f239829b44aec4d05cea99f98ad,0,0,0,2011-12-05 21:09:35,113,13,0.9047,126,2,1,1,904,170,57108.8118,12,4.2084,8
27,35df6a4714996c0e40f0f32822d0568660bdf206,0,0,0,2011-12-05 21:27:17,3443,225,1.5975,3668,10,3,2,632,112,54263.144,317,15.8759,2124
35,d9f9f42b849ec0e2bb6b2317467cbde9255331d7,0,0,0,2011-12-06 06:12:09,13,1228,0.2631,1241,2,11,2,752,93,50859.3709,246,251.0,1123
49,f0e6bea08acd313d7d9acb0401a14befe1a31e43,0,0,0,2011-12-06 08:47:58,58,273,0.0,331,7,1,2,681,155,46200.7753,272,251.0,1527
43,3de787b58c512e176f7a2a7873326eeb42b306c1,0,0,0,2011-12-06 16:32:46,198,245,2.25,443,9,6,2,103,93,37331.6186,286,41.0,8
42,0bbb0e8cb1daa351af91cf97b2bcababfc0c7f9f,0,0,0,2011-12-06 17:08:47,47,419,0.9129,466,51,26,3,144,55,58267.4788,211,27.7252,2162
