Unnamed: 0,commit_id,tcmt,bugcount,fixcount,author_date,la,ld,ent,churn,nf,nd,ns,nuc,ndev,age,aexp,arexp,asexp
390,ff98c0ebb3f5dfdffd3462f4271ca777fc899214,0,0,0,2011-10-30 14:16:48,4875,204,5.8736,5079,233,1,6,1543,283,36537.8781,34,251.0,11
155,64341eedf993c0738dcd42fb41fd193c184f3464,0,0,0,2011-11-23 06:26:37,345,318,1.4895,663,2,3,2,1543,2,4083.8561,317,4.5739,22
0,adf912b98c527f5f92686543963c1665dee8c119,0,0,0,2011-11-30 01:47:19,4875,32302,1.4951,37177,233,1,6,1543,283,75302.8887,23,5.9418,62
3,01afc61e6201ea22926f27e82280f0b3c6f2362f,0,0,0,2011-11-30 13:37:08,4875,1924,5.8736,6799,233,3,6,65,46,28774.2475,1,251.0,2275
5,7c11490677bc49086271ee377e6a8076eebe15f6,0,0,0,2011-11-30 16:31:26,51,32302,0.3647,32353,3,2,1,4,283,41049.847,14,251.0,21
8,b69e89f60c635f1e0fb5e25696e3b5ad26416b56,0,0,0,2011-11-30 18:46:11,92,32302,0.418,32394,233,3,6,1543,141,49674.0975,7,251.0,2305
2,9dbcd8bbc742ab14d40aef60c9cacb25e6909988,0,0,0,2011-11-30 22:40:38,4875,199,0.5497,5074,233,2,2,13,2,63091.3521,18,2.5096,21
7,f6c74d6563e48df6a8a7ff09a27d812840f23d02,0,0,0,2011-11-30 23:55:46,4875,32302,0.6106,37177,233,2,6,1543,40,72901.2333,3,4.1755,2305
6,3b29258ed305993789070f2d1cc987d76a432f6b,0,0,0,2011-12-01 01:01:31,4875,380,0.9127,5255,5,1,2,16,108,77265.6255,317,251.0,49
4,dd56fd39d558c4052c307e617325a8631016ec70,0,0,0,2011-12-01 03:33:21,139,32302,0.5538,32441,5,2,6,21,42,27952.2044,75,251.0,221
13,85f9d927f5becfca94e90941a3f01f96c6dbf439,0,0,0,2011-12-01 22:27:18,4875,32302,0.0227,37177,233,42,1,6,1,63188.6769,6,2.7323,2305
15,c77571e9199c756825d6805e5cb916973c010b64,0,0,0,2011-12-02 01:48:56,208,32302,0.301,32510,233,2,1,30,35,76942.596,89,12.3481,134
11,6d40314ea5f0bfdcc80a7cfe17353cbba07e0bab,0,0,0,2011-12-02 03:21:27,4875,32302,0.6177,37177,8,1,6,34,184,5686.9219,89,3.5589,204
22,93cf1f24bfbc3c51cde477ccfe3e508c7953699e,0,0,0,2011-12-02 14:34:49,183,32302,0.3067,32485,233,42,6,1543,76,35241.0246,299,251.0,2234
20,fb0f0388dee8c7cd612beaa065be8afd06fb2540,0,0,0,2011-12-02 20:59:37,33,224,0.0437,257,2,1,6,9,19,75306.5829,5,1.0987,19
17,4f52cd9e24b8816c3079814394479ecc7608e753,0,0,0,2011-12-02 21:30:13,4875,32302,5.8736,37177,6,2,1,25,149,67187.6272,84,251.0,6
25,2e000f35023dfe096e94e95b0673e209d93acef9,0,0,0,2011-12-03 04:54:35,126,32302,0.4289,32428,233,1,2,1543,283,1.0,13,251.0,135
33,65dba1a7aa3882308f0442fd53f9bea06550d7a8,0,0,0,2011-12-03 12:42:19,301,32302,1.5414,32603,233,2,3,1543,283,26188.7805,92,8.8699,21
19,f68abf9b0e3e2ba206c560c19db321c6f88670f1,0,0,0,2011-12-05 14:30:45,91,209,1.4345,300,5,2,6,1543,102,45380.4202,15,5.3758,60
26,bb6cbb09f58a80e62c8a8b40388e9497718dab4c,0,0,0,2011-12-05 20:58:43,4875,32302,0.1298,37177,233,2,1,1543,283,56068.7075,139,10.5296,477
29,98b1ef337ee63f239829b44aec4d05cea99f98ad,0,0,0,2011-12-05 21:09:35,116,110,0.9009,226,1,2,6,3,283,57868.2639,16,251.0,52
27,35df6a4714996c0e40f0f32822d0568660bdf206,0,0,0,2011-12-05 21:27:17,4875,401,1.658,5276,233,3,2,1543,127,50475.744,10,251.0,2305
37,37fc2b00c0a8dd67221d83697609913aa78d89c7,0,0,0,2011-12-06 00:23:55,4875,1242,2.5316,6117,233,4,6,1543,104,58863.1548,20,251.0,2305
35,d9f9f42b849ec0e2bb6b2317467cbde9255331d7,0,0,0,2011-12-06 06:12:09,4875,701,5.8736,5576,9,2,1,1543,86,58105.9837,242,251.0,1055
49,f0e6bea08acd313d7d9acb0401a14befe1a31e43,0,0,0,2011-12-06 08:47:58,4875,1297,5.8736,6172,233,3,1,1543,130,44956.6066,256,251.0,1339
43,3de787b58c512e176f7a2a7873326eeb42b306c1,0,0,0,2011-12-06 16:32:46,268,32302,5.8736,32570,13,2,2,60,61,31629.119,296,251.0,80
42,0bbb0e8cb1daa351af91cf97b2bcababfc0c7f9f,0,0,0,2011-12-06 17:08:47,188,32302,1.2337,32490,13,4,3,1543,5,44971.4782,294,18.6427,2024
50,882b1e475de1ef71d7d3f0b50a58f91569905a75,0,0,0,2011-12-06 23:51:34,4875,32302,5.8736,37177,233,42,1,57,154,50581.9257,259,1.0153,1495
45,8eb5af2d4086438a678abb22d720dbd3ebb9a02d,0,0,0,2011-12-07 00:53:40,172,32302,1.117,32474,233,1,1,39,142,42405.7978,97,7.2078,33
44,3d9f0ed000ebe119cb7e15f957ee85b668086fea,0,0,0,2011-12-07 01:33:35,183,811,0.8413,994,233,6,6,46,150,22244.4663,90,5.012,232
