Unnamed: 0,commit_id,tcmt,bugcount,fixcount,author_date,la,ld,ent,churn,nf,nd,ns,nuc,ndev,age,aexp,arexp,asexp
390,ff98c0ebb3f5dfdffd3462f4271ca777fc899214,0,0,0,2011-10-30 14:16:48,37,511,4.4146,548,32,1,4,22,281,37035.2125,25,251.0,2124
0,adf912b98c527f5f92686543963c1665dee8c119,0,0,0,2011-11-30 01:47:19,21,6,1.4804,27,3,4,4,13,170,74795.349,14,12.0077,100
3,01afc61e6201ea22926f27e82280f0b3c6f2362f,0,0,0,2011-11-30 13:37:08,3319,2572,3.2874,5891,2,9,1,1543,49,25685.7289,304,16.4774,2013
5,7c11490677bc49086271ee377e6a8076eebe15f6,0,0,0,2011-11-30 16:31:26,4595,28,0.3036,4623,2,2,1,788,238,41451.1535,8,5.929,58
8,b69e89f60c635f1e0fb5e25696e3b5ad26416b56,0,0,0,2011-11-30 18:46:11,85,10,0.3096,95,3,2,1,23,137,48333.7993,317,6.7595,78
2,9dbcd8bbc742ab14d40aef60c9cacb25e6909988,0,0,0,2011-11-30 22:40:38,85,277,0.4708,362,42,42,2,40,194,63571.9827,32,251.0,135
7,f6c74d6563e48df6a8a7ff09a27d812840f23d02,0,0,0,2011-11-30 23:55:46,70,21,0.6722,91,63,2,5,769,35,72308.1443,317,9.3303,2124
6,3b29258ed305993789070f2d1cc987d76a432f6b,0,0,0,2011-12-01 01:01:31,24,76,1.1058,100,2,2,2,537,95,75600.585,19,251.0,94
10,15350bef95a1d34bf302c3516c9616d6dc314d56,0,0,0,2011-12-01 03:21:20,4595,57,2.1316,4652,7,4,1,788,170,42832.0,7,15.1501,2124
4,dd56fd39d558c4052c307e617325a8631016ec70,0,0,0,2011-12-01 03:33:21,68,884,0.7027,952,9,2,6,31,46,27033.3532,69,12.2366,118
13,85f9d927f5becfca94e90941a3f01f96c6dbf439,0,0,0,2011-12-01 22:27:18,35,8,0.0845,43,2,13,1,21,5,62866.0251,317,251.0,62
22,93cf1f24bfbc3c51cde477ccfe3e508c7953699e,0,0,0,2011-12-02 14:34:49,4236,1360,0.2591,5596,6,13,4,100,86,31081.8695,1,251.0,2265
20,fb0f0388dee8c7cd612beaa065be8afd06fb2540,0,0,0,2011-12-02 20:59:37,419,3,2.2346,422,7,4,1,537,25,75950.2533,317,8.8762,2124
17,4f52cd9e24b8816c3079814394479ecc7608e753,0,0,0,2011-12-02 21:30:13,1661,5780,0.1429,7441,2,42,1,33,132,65449.6989,106,251.0,131
28,91cfa62b4a09cafa8af0772c68d36de9216dc440,0,0,0,2011-12-02 21:37:32,124,2,1.339,126,7,5,1,25,45,60646.7448,70,20.7117,270
25,2e000f35023dfe096e94e95b0673e209d93acef9,0,0,0,2011-12-03 04:54:35,192,15,0.248,207,2,2,1,444,10,85785.7153,317,251.0,1929
33,65dba1a7aa3882308f0442fd53f9bea06550d7a8,0,0,0,2011-12-03 12:42:19,142,884,1.5534,1026,14,3,3,992,8,26146.0,115,14.6139,145
19,f68abf9b0e3e2ba206c560c19db321c6f88670f1,0,0,0,2011-12-05 14:30:45,4875,7622,1.3293,12497,9,4,6,84,97,44799.4363,5,251.0,2305
26,bb6cbb09f58a80e62c8a8b40388e9497718dab4c,0,0,0,2011-12-05 20:58:43,4006,107,4.5826,4113,33,11,5,1152,5,57448.9216,119,11.2836,455
29,98b1ef337ee63f239829b44aec4d05cea99f98ad,0,0,0,2011-12-05 21:09:35,137,62,0.9547,199,2,2,5,10,2,58189.2241,20,251.0,35
27,35df6a4714996c0e40f0f32822d0568660bdf206,0,0,0,2011-12-05 21:27:17,83,35,1.7399,118,4,4,2,764,131,49642.9131,317,251.0,81
37,37fc2b00c0a8dd67221d83697609913aa78d89c7,0,0,0,2011-12-06 00:23:55,1116,385,2.9956,1501,5,3,6,73,124,61554.78,22,29.4036,2169
35,d9f9f42b849ec0e2bb6b2317467cbde9255331d7,0,0,0,2011-12-06 06:12:09,1076,282,3.2549,1358,2,2,6,898,102,56345.2888,226,16.2943,947
49,f0e6bea08acd313d7d9acb0401a14befe1a31e43,0,0,0,2011-12-06 08:47:58,177,4189,0.3441,4366,5,3,4,67,125,40531.1699,229,251.0,1212
43,3de787b58c512e176f7a2a7873326eeb42b306c1,0,0,0,2011-12-06 16:32:46,57,884,2.7493,941,233,7,2,79,54,27563.3216,1,19.6448,180
42,0bbb0e8cb1daa351af91cf97b2bcababfc0c7f9f,0,0,0,2011-12-06 17:08:47,176,1170,1.8573,1346,42,4,3,66,9,49141.8457,1,251.0,1962
50,882b1e475de1ef71d7d3f0b50a58f91569905a75,0,0,0,2011-12-06 23:51:34,124,2452,0.2087,2576,3,18,5,50,127,54093.1166,264,16.4791,1494
45,8eb5af2d4086438a678abb22d720dbd3ebb9a02d,0,0,0,2011-12-07 00:53:40,126,100,1.0411,226,61,3,4,65,136,40566.4746,97,13.105,131
44,3d9f0ed000ebe119cb7e15f957ee85b668086fea,0,0,0,2011-12-07 01:33:35,118,567,1.0093,685,6,5,1,34,137,18089.0,66,18.6071,265
40,dca73f7c8c6f65e449a4b7500b679fb51418a138,0,0,0,2011-12-07 03:12:17,28,13,0.207,41,2,2,1,334,5,79846.9004,90,14.9818,119
47,d39d06e2761be3a82a3539e03f492b3ddcd2d60c,0,0,0,2011-12-07 04:49:03,1838,29,1.0,1867,1,1,2,444,5,85890.4402,265,251.0,1241
65,c3b7cce8101548428b64abb23ab88482bc79c36e,0,0,0,2011-12-07 22:00:59,184,217,1.135,401,3,3,3,78,146,52945.5206,240,251.0,845
57,fb27cc6979dcc8b4c0ac6595dae0c6e3e413e00f,0,0,0,2011-12-07 23:21:58,24,63,0.7927,87,4,4,1,808,95,62900.5772,235,251.0,742
51,2706ec20f61a4edc560bd0b9100216301fde36dd,0,0,0,2011-12-08 02:37:32,91,641,0.732,732,103,29,1,73,160,32761.8876,237,251.0,1337
52,ac0ac446aaa0af517a2b726e48d3b37eeffd46e5,0,0,0,2011-12-08 04:25:11,34,4,0.0107,38,3,3,1,444,170,84363.8352,317,251.0,1929
46,35782f24fa50b5b96072f9b81128f352098d50af,0,0,0,2011-12-08 04:35:12,1838,10,0.4518,1848,2,2,1,444,170,85014.3163,13,3.1701,1929
53,bca56ddb3dc931880fa32e23cff35debf7ab365c,0,0,0,2011-12-08 10:37:31,7,14,1.3268,21,4,2,1,847,16,20955.9173,13,15.9373,2305
54,b822159de88e3ec30f85aa4e981dfcd93a582dc9,0,0,0,2011-12-08 10:37:36,864,22,1.1135,886,2,2,1,28,24,10212.367,32,251.0,2124
