Unnamed: 0,commit_id,tcmt,bugcount,fixcount,author_date,la,ld,ent,churn,nf,nd,ns,nuc,ndev,age,aexp,arexp,asexp
4619,665d8a045455214d2cfca72076da6bc75d3058c7,0,0,0,2011-06-20 10:06:43,149559,76,0.1389,149635,48,612,1,3,94,23405.0223,298,122.7809,2921
4626,f562b90518137997f6e06765ebc550394a0bf114,0,1,1,2011-06-20 12:37:37,149559,19,8.9455,149578,4059,612,1,2,12,8776.4979,166,49.3667,425
4627,46ffabde50c42fda6b9959f8c99d1744ee6386fa,0,0,0,2011-06-20 12:47:51,1455,70,1.3653,1525,76,612,1,3,1,32644.3216,147,27.5932,719
4628,18eb310d5bcbc4193bef0a5d45c01ed10f46579e,0,0,0,2011-06-20 12:57:09,33805,189,0.1839,33994,84,1,2,0,0,34383.7131,131,30.473,19867
4629,26877d990b5f0c242448690ca957e98d64ae40e3,0,0,0,2011-06-20 14:53:04,90,4310,1.7162,4400,4,3,3,16,5,35855.2249,13,35.9443,1586
4630,1d450c6941d75e2074fb3083dcfab5a8db59e8e0,0,0,1,2011-06-20 15:08:17,2,299,0.0,301,1,1,1,219,60,40398.2142,60,17.7709,54
4639,fa2bb6ab6412dd360ff9dfb890ace2f51e0eef86,0,0,0,2011-06-20 17:15:40,1106,1768,1.5026,2874,1,8,1,231,56,51499.5192,95,900.0,960
4648,3debd70c08da8bf974c8d226427a76aba51b754a,0,0,0,2011-06-21 13:26:00,158,11,3.2088,169,1,1,2,5,4,82924.364,386,108.8844,3333
4637,ae4b4696a53aba6e81491a5d9796ca03adfb2953,0,0,0,2011-06-21 16:22:03,112,370,0.5483,482,7,1,1,264,74,40699.6208,44,40.5268,26
4642,f5a128bb0ed13425d7f153e36c053e3d3511ca08,0,0,0,2011-06-21 16:22:04,103,180,0.9519,283,1,2,1,9,79,39282.8218,1173,9.1188,41
4649,4545b212afcdeaeb4022e43260390674960fc94a,0,0,0,2011-06-21 16:22:04,63,254,0.6333,317,4,2,2,124,2,47162.6205,48,55.0,3708
4643,0da3d7d5d34f86b7826045bd557f8733b7da5073,0,0,0,2011-06-21 16:22:04,323,126,0.207,449,352,3,1,1,12,2584.5612,11,23.1673,9317
4636,366f757e84c872ca601b5f2907c01579a3b38b31,0,0,0,2011-06-21 16:22:04,112,360,0.2487,472,4,2,4,264,15,4922.7712,44,40.1076,11
4635,6ebb60158d83099f7a5c6a643b709424e34077cf,0,0,0,2011-06-22 11:40:02,59,250,0.9165,309,3,2,1,206,49,27506.161,126,37.2806,9317
4646,e01ce920e4a99edad31d2e6115a15d3b5afa2f26,0,0,0,2011-06-22 11:41:10,23,8302,0.0806,8325,30,1,2,206,49,27730.5627,124,30.3689,294
4658,d7c37d9bacc016b1156e15780080cfc8c24f6e6a,0,0,0,2011-06-22 15:06:57,15,254,0.1347,269,5,5,1,124,3,42659.3752,151,42.2668,758
4698,e0d5221957bf0d7857f924f1f2ae63d490de0a0a,0,0,0,2011-06-22 17:11:41,797,937,0.3015,1734,333,38,1,30,7,42251.8847,245,118.6418,2554
4654,1fab62b930edd4abed076e57ee997eae09159f22,0,0,0,2011-06-22 17:27:56,394,72,1.16,466,5,3,3,206,5,44272.6533,35,23.7143,188
4651,ea933359b738e1e8a4d16ebb14f11cda1ac23be7,0,0,0,2011-06-23 15:08:25,25,0,0.7943095546405663,25,3,1,1,0,0,40105.0,7,7.0,38
3204,6fc9820d2a3f349f04a2ea9c39261de0168d2331,0,0,0,2011-06-23 15:52:07,53,22,0.2028,75,2,4,1,231,2,38157.9722,6,6.5405,50
3202,2bbf9befd8879dcfca9f48ac9ac13daf40f48847,0,0,0,2011-06-23 15:52:07,131,2085,3.6123,2216,24,5,3,334,83,45606.3435,52,57.1299,27902
3199,ef60ed1c9dbc87d9f8401036cc254a9c45cd8ca8,0,0,0,2011-06-23 15:52:07,3962,82,3.1919,4044,144,2,4,287,85,45646.1276,52,900.0,208
3198,c46654b3a5deb92f5ac2ce41be9d7a302dd04db5,0,0,0,2011-06-23 15:52:08,278,420,0.2876,698,2,4,1,231,13,84952.0,7,6.7152,55
3197,4e1ad49998cf782ccc88e7e80fbd05c722658a16,0,0,0,2011-06-23 15:52:08,149559,41,8.9455,149600,4059,612,1,223,14,86374.0,18,900.0,281
4665,f9035587b98ac5dc9491e642b8ec84470ec03f0e,0,1,0,2011-06-23 16:12:19,41,128,1.4592,169,4,1,2,7,37,28036.124,27,900.0,528
4661,1b9c679eb5efe0e4ab746f02127de6456796f642,0,0,0,2011-06-23 18:54:47,1820,69,1.8005,1889,4059,11,1,1,1,53031.4588,31,27.3232,397
4652,e9d36991233278d68257f5d9632ceace6d7b243d,0,0,0,2011-06-23 18:54:47,370,1,1.3267,371,5,1,3,206,67,50476.5697,103,438.5,161
4677,944143997567e711dc74004bbe3334325656fcab,0,0,0,2011-06-24 18:54:05,434,197,1.771,631,5,5,1,156,3,60280.6387,208,101.8352,680
4672,d1b0bb5607718185c048eb9a2f9eda19ab628f8c,0,1,0,2011-06-24 18:54:05,47,46,3.6995,93,32,1,2,282,73,51904.0963,175,105.6135,404
4666,a06c8405d053b16327d65415f3335eceb37abd3b,0,0,0,2011-06-25 17:29:49,888,888,0.7459,1776,2,1,1,0,0,46241.9338,69,47.301,19867
4727,8fb4beb2a194f6a42e650c4d91bb4e25c916e5f6,0,0,0,2011-06-27 10:45:22,6,299,0.0,305,1,1,1,5,6,58641.5512,20,900.0,302
4729,e41318cbb9261e65ddc164cd1811cb911bd70153,0,0,0,2011-06-27 12:40:26,222,12,0.0449,234,9,1,2,9,58,33921.7907,1173,9.3669,5
4730,bb6be57b38808273b3d302a782d68f31b3076894,0,0,0,2011-06-27 13:01:30,336,178,1.0525,514,2,6,3,97,21,73330.2339,136,77.8794,437
