Unnamed: 0,commit_id,tcmt,bugcount,fixcount,author_date,la,ld,ent,churn,nf,nd,ns,nuc,ndev,age,aexp,arexp,asexp
4619,665d8a045455214d2cfca72076da6bc75d3058c7,0,0,0,2011-06-20 10:06:43,3759,942,0.0679,4701,52,8,1,1173,153,23002.9334,322,105.8305,2429
4626,f562b90518137997f6e06765ebc550394a0bf114,0,1,1,2011-06-20 12:37:37,822,129,9.5566,951,7,702,1,4,12,9222.2234,163,42.6548,305
4627,46ffabde50c42fda6b9959f8c99d1744ee6386fa,0,0,0,2011-06-20 12:47:51,521662,479,1.1844,522141,42,4,1,1173,1,30998.4543,153,49.6871,206
4628,18eb310d5bcbc4193bef0a5d45c01ed10f46579e,0,0,0,2011-06-20 12:57:09,521662,69755,9.5566,591417,4911,702,1,1173,153,32783.7768,168,51.3662,566
4629,26877d990b5f0c242448690ca957e98d64ae40e3,0,0,0,2011-06-20 14:53:04,3287,69755,1.9117,73042,24,702,1,1173,1,38565.488,66,17.1315,1122
4630,1d450c6941d75e2074fb3083dcfab5a8db59e8e0,0,0,1,2011-06-20 15:08:17,521662,227,0.0207,521889,17,3,1,1173,153,40284.7401,53,11.6807,180
4639,fa2bb6ab6412dd360ff9dfb890ace2f51e0eef86,0,0,0,2011-06-20 17:15:40,2475,69755,1.638,72230,4911,7,1,6,1,47389.9642,51,5.7233,789
4641,f9ae26acf20dc90f578b191fe906ab680b4fc97b,0,0,0,2011-06-21 11:46:57,521662,561,2.3116,522223,48,2,1,7,153,27574.676,186,94.3952,585
4648,3debd70c08da8bf974c8d226427a76aba51b754a,0,0,0,2011-06-21 13:26:00,2651,69755,9.5566,72406,4911,702,1,8,5,81660.5551,401,75.8779,3488
4637,ae4b4696a53aba6e81491a5d9796ca03adfb2953,0,0,0,2011-06-21 16:22:03,1532,164,0.7806,1696,16,3,1,4,153,44704.5547,41,44.0583,171
4642,f5a128bb0ed13425d7f153e36c053e3d3511ca08,0,0,0,2011-06-21 16:22:04,1780,252,0.8639,2032,11,4,1,1173,153,44826.4042,39,44.928,100
4649,4545b212afcdeaeb4022e43260390674960fc94a,0,0,0,2011-06-21 16:22:04,521662,69755,0.6867,591417,4911,3,1,3,0,44639.91,46,40.2533,102
4643,0da3d7d5d34f86b7826045bd557f8733b7da5073,0,0,0,2011-06-21 16:22:04,521662,133,9.5566,521795,4911,702,1,1173,13,86396.0,40,44.5839,25
4636,366f757e84c872ca601b5f2907c01579a3b38b31,0,0,0,2011-06-21 16:22:04,1069,264,0.0197,1333,12,702,1,4,18,201.1298,48,44.1481,217
4635,6ebb60158d83099f7a5c6a643b709424e34077cf,0,0,0,2011-06-22 11:40:02,4162,679,0.9152,4841,4911,702,1,11,1,28450.7665,105,63.8738,438
4646,e01ce920e4a99edad31d2e6115a15d3b5afa2f26,0,0,0,2011-06-22 11:41:10,3272,289,0.0296,3561,4911,702,1,1173,153,27297.4903,90,54.1434,129
