Unnamed: 0,commit_id,tcmt,bugcount,fixcount,author_date,la,ld,ent,churn,nf,nd,ns,nuc,ndev,age,aexp,arexp,asexp
4619,665d8a045455214d2cfca72076da6bc75d3058c7,0,0,0,2011-06-20 10:06:43,4252,88,0.2266,4340,14,4,8,235,3,22125.1395,273,136.3334,2616
4626,f562b90518137997f6e06765ebc550394a0bf114,0,1,1,2011-06-20 12:37:37,8,5,3.4499,13,25,1,3,245,12,9079.6602,155,39.5788,385
4627,46ffabde50c42fda6b9959f8c99d1744ee6386fa,0,0,0,2011-06-20 12:47:51,49,4195,1.31,4244,3,1,1,293,2,31603.8288,178,35.1976,440
4628,18eb310d5bcbc4193bef0a5d45c01ed10f46579e,0,0,0,2011-06-20 12:57:09,19,4195,3.7806,4214,34,9,1,293,88,32255.7738,155,53.6693,348
4629,26877d990b5f0c242448690ca957e98d64ae40e3,0,0,0,2011-06-20 14:53:04,430,19011,1.8313,19441,4,3,1,7,3,39302.379,83,900.0,1071
4630,1d450c6941d75e2074fb3083dcfab5a8db59e8e0,0,0,1,2011-06-20 15:08:17,266,19011,4.8019,19277,2,8,1,5,1,40049.2895,67,30.4535,175
4639,fa2bb6ab6412dd360ff9dfb890ace2f51e0eef86,0,0,0,2011-06-20 17:15:40,3583,23,1.4816,3606,1,2,4,409,2,47617.4502,96,30.9374,884
4641,f9ae26acf20dc90f578b191fe906ab680b4fc97b,0,0,0,2011-06-21 11:46:57,603,16796,2.1211,17399,10,5,4,382,85,27919.7454,206,112.9281,290
4648,3debd70c08da8bf974c8d226427a76aba51b754a,0,0,0,2011-06-21 13:26:00,12,481,2.7774,493,1,1,2,192,8,80974.5739,374,120.4569,4247
4637,ae4b4696a53aba6e81491a5d9796ca03adfb2953,0,0,0,2011-06-21 16:22:03,3583,27,0.8577,3610,4,1,4,6,107,44469.4822,16,28.412,56
4642,f5a128bb0ed13425d7f153e36c053e3d3511ca08,0,0,0,2011-06-21 16:22:04,148,1361,0.9592,1509,49,2,1,409,107,44590.9625,60,29.0921,3763
4649,4545b212afcdeaeb4022e43260390674960fc94a,0,0,0,2011-06-21 16:22:04,3583,27,0.7658,3610,4,2,4,6,2,44582.5177,58,63.6221,3763
4643,0da3d7d5d34f86b7826045bd557f8733b7da5073,0,0,0,2011-06-21 16:22:04,52,6268,0.0254,6320,1,1,1,2,13,21.0632,50,31.9563,92
4636,366f757e84c872ca601b5f2907c01579a3b38b31,0,0,0,2011-06-21 16:22:04,8369,34,0.0245,8403,1,1,1,233,17,18.3896,32,32.6334,88
4635,6ebb60158d83099f7a5c6a643b709424e34077cf,0,0,0,2011-06-22 11:40:02,469,16796,0.9206,17265,261,20,1,382,1,27634.25,80,65.9567,289
4646,e01ce920e4a99edad31d2e6115a15d3b5afa2f26,0,0,0,2011-06-22 11:41:10,327,217,0.0407,544,3,20,1,4,85,27631.0582,113,69.1334,48
4658,d7c37d9bacc016b1156e15780080cfc8c24f6e6a,0,0,0,2011-06-22 15:06:57,13586,19011,4.8019,32597,6,8,7,253,1,39938.7554,129,23.6725,864
4654,1fab62b930edd4abed076e57ee997eae09159f22,0,0,0,2011-06-22 17:27:56,42475,484,1.0729,42959,10,3,3,11,2,48577.7107,126,61.2059,51
4651,ea933359b738e1e8a4d16ebb14f11cda1ac23be7,0,0,0,2011-06-23 15:08:25,221,19011,0.8514,19232,3,1,7,2,76,40068.4267,1173,900.0,96
3204,6fc9820d2a3f349f04a2ea9c39261de0168d2331,0,0,0,2011-06-23 15:52:07,120,323,0.2724,443,6,1,3,6,2,42677.7026,1173,900.0,84
3199,ef60ed1c9dbc87d9f8401036cc254a9c45cd8ca8,0,0,0,2011-06-23 15:52:07,25,16422,2.5053,16447,6,2,1,4,115,42692.6449,1173,13.5979,9
3198,c46654b3a5deb92f5ac2ce41be9d7a302dd04db5,0,0,0,2011-06-23 15:52:08,367,6268,0.1564,6635,2,1,1,6,12,2978.75,1173,15.4326,3996
3197,4e1ad49998cf782ccc88e7e80fbd05c722658a16,0,0,0,2011-06-23 15:52:08,8369,80,0.0534,8449,1,1,1,233,15,35.2222,20,19.7346,3996
4665,f9035587b98ac5dc9491e642b8ec84470ec03f0e,0,1,0,2011-06-23 16:12:19,192,52,1.4241,244,3,1,5,8,40,29746.2509,1173,900.0,3763
